category,word,date,views,text,hashtags,link
general,skill issue,2024-1-15,0.0128,"If you’re gonna be mean, at least be right #cosplay #gaming #coser #gamer #skillissue #fyp created by 🪿 Hakc 🪿 with 🪿 Hakc 🪿’s original sound","['cosplay', 'gaming', 'coser', 'gamer', 'skillissue']",https://www.tiktok.com/@its.hakc/video/7324385010969103658
general,skill issue,2024-4-23,1.3,Always that last hit #gaming #darksouls #souls #eldenring #skillissue #fyp created by Solaire of Astora with Solaire of Astora’s original sound,"['gaming', 'darksouls', 'souls', 'eldenring', 'skillissue']",https://www.tiktok.com/@flyrelic/video/7361104552415874337
general,skill issue,2023-7-9,0.7653,Idk what to put here so.. skill issue💀 #fyp #animation #meme #crush #her #relatable  created by DomTheOne with Infinitesport’s original sound,"['animation', 'meme', 'crush', 'her', 'relatable']",https://www.tiktok.com/@d0mtheone/video/7253805965726780699
general,skill issue,2022-8-24,13.3,Goofy lil animation I busted out real quick 🤭 #fyp #animation #trending #viral#CapCut  created by CJCOMIX‼️ with MoonDeity’s NEON BLADE,"['animation', 'trending']",https://www.tiktok.com/@cjcomix69/video/7135524266371534122
general,skill issue,2022-9-1,0.0214,The real skill issue here is them getting 0 play 💀 #pov #comedy #funny #trending #viral #relatable created by AG with prodby668’s prolly my spookiest beat (slowed + reverb),"['pov', 'comedy', 'funny', 'trending', 'relatable']",https://www.tiktok.com/@agtoowilddd/video/7138595192969547050
general,skill issue,2024-6-8,0.369,"Manz was a walking representation of “skill issue.” | PROBLEM- NOT MY PROBLEM, THATS JUST NOT MY PROBLEM (its stuck in my head) Tagz: #hobie #hobiebrown #hobiebrownedit #hobiebrown138 #atsv #atsvedit #spiderman #spidermanacrossthespiderverse #spidermanedit #notmyproblem #milesmorales #vsp #blowthisup #fyp #foryoupage   Mentionz in comments :)  created by ‘𝐉𝐚𝐲ᥫ᭡. with ‘𝐉𝐚𝐲ᥫ᭡.’s original sound","['hobie', 'hobiebrown', 'hobiebrownedit', 'hobiebrown138', 'atsv', 'atsvedit', 'spiderman', 'spidermanacrossthespiderverse', 'spidermanedit', 'notmyproblem', 'milesmorales', 'vsp', 'blowthisup']",https://www.tiktok.com/@jay4v2rse/video/7378134380469816619
general,skill issue,2024-5-2,0.2862,Skill issue… Twitch: JustMaliyah 🫧 #eldenring #eldenringhype #eldenringgameplay  created by JustMaliyah🎱🎧🫧 with JustMaliyah🎱🎧🫧’s original sound,"['eldenring', 'eldenringhype', 'eldenringgameplay']",https://www.tiktok.com/@justmaliyahh/video/7364545020604484870
general,skill issue,2024-7-16,0.1635,Skill issue #fyp #foryou #foryoupage #gaming #eldenring #eldenringdlc  created by Roshi Bros with Roshi Bros’s original sound,"['gaming', 'eldenring', 'eldenringdlc']",https://www.tiktok.com/@roshibros/video/7392433322116353326
general,skill issue,2024-8-5,0.56,skill issue #fyp #skillissue #eldenringboss #malenia #cupheadgame #contra #ghostrunner #ps5games #nesgames #ps4games #soulsgames #xboxgames  created by syrem with syrem’s original sound,"['skillissue', 'eldenringboss', 'malenia', 'cupheadgame', 'contra', 'ghostrunner', 'ps5games', 'nesgames', 'ps4games', 'soulsgames', 'xboxgames']",https://www.tiktok.com/@syremintheflesh/video/7399678088575012138
general,skill issue,2023-3-31,0.40900000000000003,do you need a small violin for that pity party 🥺🎻 mayhaps a dose of “get over it”? 🥰 #skillissue #wahhmbulance #thatscrazy #fyp #foryou #fypシ #fypage #voiceactor #insane #audio  created by Terminally Silly with Terminally Silly’s original sound,"['skillissue', 'wahhmbulance', 'thatscrazy', 'voiceactor', 'insane', 'audio']",https://www.tiktok.com/@milkinthymicrowave/video/7216744030074441003
