word,human,ChatGPT,DeepAI,Copilot
Sigma,3.219,3.5,3,3.5
Skibidi,2.319,2.5,4,2.5
Gyatt,3.033,2,4,2
Alpha,2.975,3,3.5,4
Aura,3.919,4,4.5,4.5
Rizz,3.935,4,4,4
Rizzler,3.185,4,4,4
Fanum tax,1.991,1.5,2.5,1.5
Mew,2.926,3.5,3,3
Mewing,2.95,3,3.5,3.5
Looksmaxxing,3.092,2,3,3
Mogging,2.735,1.5,3.5,2
Mog,2.715,1.5,3.5,2.5
Baby gronk,2.203,2,3,2
Edging,2.5,1,2.5,2
Goofy ahh,2.885,3,3.5,2.5
nonchalant dreadhead,2.796,2,3,3
Goated,4.411,4.5,4.5,5
Freakbob,2.58,1.5,2.5,1
John pork,2.243,2,2,2.5
Npc behavior,2.338,2,2.5,1.5
Sussy baka,1.957,2.5,3,2
Tiktok rizz party,2.254,3,4,4
Jonkler,2.084,2,2.5,2
Skill issue,2.68,2,1,1.5
,,,,
