category,tag,words
female,ate,"['ate', 'body tea', 'flop', 'diva']"
general,gaming,"['skill issue', 'npc behavior', 'mew']"
general,gamer,"['skill issue', 'npc behavior']"
general,animation,"['skill issue', 'freakbob', 'goated', 'mew', 'skibidi']"
both,meme,"['flop', 'onika burgers', 'pookie', 'slay', 'chronically online', 'queening', 'skill issue', 'mogging', 'rizzler', 'sussy baka', 'edging', 'fanum tax', 'freakbob', 'goated', 'goofy ahh', 'john pork', 'jonkler', 'mew', 'mewing', 'mog', 'sigma', 'tiktok rizz party']"
both,relatable,"['ate', 'bedrotting', 'beige flag', 'body tea', 'era', 'flop', 'girl dinner', 'giving', 'onika burgers', 'pookie', 'situationship', 'slay', 'yap', 'chronically online', 'delulu', 'serving', 'snatched', 'skill issue', 'mogging', 'nonchalant dreadhead', 'edging', 'freakbob', 'mew', 'mog', 'sigma', 'skibidi']"
both,trending,"['ate', 'bedrotting', 'era', 'face card', 'flop', 'giving', 'onika burgers', 'pookie', 'queen', 'situationship', 'slay', 'yap', 'chronically online', 'delulu', 'diva', 'eating', 'serving', 'snatched', 'skill issue', 'baby gronk', 'looksmaxxing', 'nonchalant dreadhead', 'npc behavior', 'rizzler', 'alpha', 'aura', 'fanum tax', 'freakbob', 'goated', 'goofy ahh', 'gyatt', 'john pork', 'jonkler', 'mew', 'mewing', 'mog', 'rizz', 'sigma', 'tiktok rizz party']"
both,pov,"['flop', 'girl dinner', 'chronically online', 'eating', 'skill issue', 'alpha', 'skibidi']"
both,comedy,"['situationship', 'yap', 'chronically online', 'delulu', 'serving', 'snatched', 'skill issue', 'npc behavior', 'sussy baka', 'edging']"
both,funny,"['beige flag', 'coded', 'flop', 'girl dinner', 'giving', 'pookie', 'queen', 'situationship', 'slay', 'yap', 'chronically online', 'delulu', 'eating', 'serving', 'snatched', 'skill issue', 'mogging', 'npc behavior', 'rizzler', 'sussy baka', 'alpha', 'edging', 'fanum tax', 'freakbob', 'goated', 'goofy ahh', 'gyatt', 'john pork', 'mew', 'rizz', 'sigma', 'skibidi', 'tiktok rizz party']"
general,spiderman,"['skill issue', 'npc behavior']"
both,vsp,"['body tea', 'flop', 'slay', 'skill issue', 'mog']"
both,blowthisup,"['ate', 'era', 'flop', 'onika burgers', 'situationship', 'slay', 'yap', 'chronically online', 'diva', 'skill issue', 'npc behavior', 'fanum tax', 'freakbob', 'gyatt', 'jonkler', 'mew', 'mog', 'rizz']"
general,car,"['skill issue', 'sigma', 'skibidi']"
general,memes,"['skill issue', 'sussy baka', 'goofy ahh', 'mew', 'skibidi']"
both,real,"['ate', 'bedrotting', 'era', 'flop', 'onika burgers', 'situationship', 'yap', 'diva', 'roman empire', 'skill issue', 'looksmaxxing', 'aura', 'edging', 'freakbob', 'goated', 'john pork', 'mog']"
general,dragonball,"['skill issue', 'npc behavior', 'goated']"
both,capcut,"['ate', 'brat', 'flop', 'pookie', 'diva', 'queening', 'skill issue', 'mogging', 'edging', 'fanum tax', 'freakbob', 'goated', 'john pork', 'jonkler', 'mew', 'mog', 'sigma', 'skibidi', 'tiktok rizz party']"
general,zyxcba,"['skill issue', 'edging']"
both,edit,"['body tea', 'brat', 'era', 'flop', 'onika burgers', 'queen', 'slay', 'delulu', 'diva', 'roman empire', 'serving', 'skill issue', 'mogging', 'nonchalant dreadhead', 'rizzler', 'aura', 'fanum tax', 'freakbob', 'goated', 'jonkler', 'mew', 'mewing', 'mog', 'rizz', 'sigma', 'skibidi', 'tiktok rizz party']"
general,pourtoi,"['skill issue', 'looksmaxxing', 'fanum tax', 'john pork', 'mog']"
general,💀,"['skill issue', 'mewing', 'rizz']"
both,fy,"['ate', 'body tea', 'brat', 'coded', 'face card', 'flop', 'giving', 'situationship', 'slay', 'yap', 'delulu', 'diva', 'eating', 'queening', 'roman empire', 'snatched', 'skill issue', 'mogging', 'nonchalant dreadhead', 'sussy baka', 'aura', 'edging', 'goofy ahh', 'jonkler', 'mog']"
both,xyzbca,"['ate', 'beige flag', 'body tea', 'brat', 'flop', 'girl dinner', 'situationship', 'slay', 'chronically online', 'roman empire', 'serving', 'skill issue', 'mogging', 'npc behavior', 'rizzler', 'alpha', 'aura', 'freakbob', 'goated', 'gyatt', 'john pork', 'mog', 'tiktok rizz party']"
general,football,"['baby gronk', 'mogging']"
both,brainrot,"['flop', 'chronically online', 'baby gronk', 'nonchalant dreadhead', 'goofy ahh', 'john pork', 'jonkler', 'mew', 'sigma', 'skibidi', 'tiktok rizz party']"
general,rizz,"['baby gronk', 'rizzler', 'fanum tax', 'gyatt', 'jonkler', 'rizz', 'skibidi', 'tiktok rizz party']"
general,family,"['baby gronk', 'rizzler', 'rizz']"
general,fun,"['baby gronk', 'rizzler', 'rizz']"
general,bigjustice,"['baby gronk', 'rizzler', 'rizz']"
general,boom,"['baby gronk', 'rizzler', 'rizz']"
both,love,"['ate', 'giving', 'onika burgers', 'pookie', 'situationship', 'delulu', 'baby gronk', 'edging']"
both,,"['giving', 'queen', 'eating', 'baby gronk', 'looksmaxxing']"
general,skibidi,"['baby gronk', 'fanum tax', 'jonkler', 'skibidi']"
general,ohio,"['baby gronk', 'npc behavior', 'sussy baka', 'goofy ahh', 'john pork', 'skibidi']"
general,nfl,"['baby gronk', 'aura']"
general,xyzabc,"['baby gronk', 'aura']"
general,looksmaxing,"['looksmaxxing', 'mogging', 'edging', 'mog']"
general,glowup,"['looksmaxxing', 'mew', 'mewing', 'mog']"
general,looksmax,"['looksmaxxing', 'mogging', 'mew', 'mog']"
general,transformation,"['looksmaxxing', 'mew', 'mewing']"
general,syrianpsycho,"['looksmaxxing', 'mewing']"
general,looksmaxx,"['looksmaxxing', 'mogging', 'mew', 'mewing']"
general,glowuptips,"['looksmaxxing', 'mewing']"
general,looks,"['looksmaxxing', 'mog']"
both,fashion,"['era', 'snatched', 'looksmaxxing', 'nonchalant dreadhead', 'mog']"
general,supermodel,"['looksmaxxing', 'mog']"
general,mogger,"['looksmaxxing', 'mogging', 'mew', 'mog']"
general,lookmaxing,"['looksmaxxing', 'mogging', 'mewing', 'mog']"
