link,text,views,date
https://www.tiktok.com/@sabby_yama/video/7392191261395946770,Bed rotting🙂🙃 #fyp #fypシ #fypシ゚viral #bedrotting #bed #bedrot  created by 🎧 with 𝐑𝐎𝐘𝐀𝐋 ʳᵉˡ’s WHY IS THIS SOUND GETTING USED,3.2M,7-16
https://www.tiktok.com/@lenn.xxxx/video/7346330193931373857,"Bed rotting isnt just having a movie day, it’s when your mental health cant cope so all you can do is stay in bed, sleeping or scrolling.  ✨I made these rules myself when i couldn’t leave the house for a while but was trying to improve: step by step and doing these makes you feel like you’ve acheived the smallest thing ❤️‍🩹  #mentalhealthhelp #anxietytips #wellnesstips #wellnessadvice #mindsetmotivation  created by Len with Luca Martinez’s original sound",3M,3-14
https://www.tiktok.com/@blabbycrabbyabby/video/7421758772097338630,"""oh ill just clean it up later!"" sure, sure you will #fyp #xyzcba  created by -'✧abby✧'- with 🪼#1 Fanny/GB Kin | nova .ᐟ ⊹☆’s Bed rotting is not a trend.",379.8K,10-3
https://www.tiktok.com/@ivangtv/video/7360484255379574058,"Bed rotting tiktok trend is goimg viral #bedrotting #tiktoktrend #generationz  #foryou  created by IvanGtv with takaya’s Suspense, horror, piano and music box",3.3M,4-21
https://www.tiktok.com/@theworkoutwitch/video/7323298391180545326,bed rotting and your nervous system’s freeze response 🥶 get out of freeze ✌🏼 heal your nervous system (3 course bundle) 🔗 on profile #bedrotting #bedrot #freezeresponse #nervoussystemdysregulation #dorsalvagalcollapse #somaticexercise  created by The Workout Witch with MoppySound’s Ambient-style emotional piano,3.2M,1-12
https://www.tiktok.com/@graciekolenichh/video/7356760524748639521,lets not glamorize “bed rotting”  #fyp #bedrotting #fypシ #relatable #trend #trending  created by gracie with 🪼#1 Fanny/GB Kin | nova .ᐟ ⊹☆’s Bed rotting is not a trend.,8M,4-11
https://www.tiktok.com/@katimorton/video/7430841833996979487,"What is the viral TikTok self care bed rotting trend? And is it good for you? #bedrotting  #selfcare #selfcaretiktok  created by Kati Morton, LMFT with Kati Morton, LMFT’s original sound",1M,3d ago
https://www.tiktok.com/@sofiaqistinee/video/7419691894445182226,"bed rotting in our 20s is disgusting but it's interesting to understand why we've all fallen victim to this ""trend"". so here's episode 1 of derot with me 💌🧘🏻‍♀️ where instead of clean reset day videos , i document the reality of the degree of how messy and rotten my room has become at times of my life - keywords : university  , uni student ,studying  , living alone , our 20s , advice , motivation , travelling, reset with me , reset day , clean with me , clean my room with me , reality , self care and self love - #movingabroad #livingabroad #selfcare #selflove #quotes #motivation #routine #cleanwithme #resetroutine #reset #errands #vlog #dayinmylife #lifestyle #20s #lesson #cleaningtiktok #room #roomdecor #college #university #student  created by Sofia 🇲🇾 with Sidewalks and Skeletons’s Goth (Slowed + Reverb)",341.7K,9-28
https://www.tiktok.com/@simmai__/video/7351467674452413702,What are ur plans for today? #fyp #art #vent #bedrotting  created by simmai with iambronyyyy’s я вообще жив или сплю блять,4.1M,3-28
https://www.tiktok.com/@katimorton/video/7430893950430448927,"5 risks of BED ROTTING #bedrotting #selfcare #selfcaretiktok  created by Kati Morton, LMFT with Kati Morton, LMFT’s original sound",690.9K,3d ago
