link,text,views,date
https://www.tiktok.com/@lovelybearxxx/video/7405344481530236192,Body tea💗#prettygirls #asiangirl #fyp  created by bear with Liyiah’s original sound,118.2K,8-20
https://www.tiktok.com/@nikoleeduhh/video/7386409718446820654, created by Nikolee™️ with Money Mu’s Hittin',943K,6-30
https://www.tiktok.com/@selfcare.with.kayla/video/7428769182768057630, created by 🌸Kayla smith🌸 with DaBaby’s PHAT,271.7K,10-22
https://www.tiktok.com/@tylacontent/video/7350307288026123566,Her Body tea fr #tyla #tylaaz #itgirl #fyp #fypシ #explorepage✨ #🎀 #kaicenat #twitch #viral  created by tylaaz ⋆ ˚｡⋆౨ৎ˚ with Tyla & Gunna & Skillibeng’s Jump,41.8M,3-25
https://www.tiktok.com/@peacockmamatv/video/7292825359643315502,Me serving him in the mornings is his love language 💚 Did y’all drink your Blood Flow Tea this morning? 🌿🍆 . . . . . . #malehealth #menshealth #herbaltea #herbalinfusion #herbalist  created by Adrianne Grayson with lonely xo’s Snooze X We Belong Together,114.9K,2023-10-22
https://www.tiktok.com/@fanaccount_iuro/video/7429995533692898568,jennie body tea #jennie  created by Fan Account with the.lady_y2k’s nhạc nền - the.lady_y2k,1.1M,5d ago
https://www.tiktok.com/@miapart2_2/video/7387244125806021934,#yourbodyyourchoice #explain  created by Jamia💕 with Jamia💕’s original sound,659.8K,7-2
https://www.tiktok.com/@superhotblonde69/video/7417552209069477162, created by liv❤️‍🔥 with goalsounds’s original sound,1.2M,9-22
https://www.tiktok.com/@asyiastarr/video/7369368410007866667,"i cant go without it tbh, 💩-ing is so important  #asyiastarr #fyp #detoxingbody #summerglowup #fitnesstips  created by asyia starr with D⭐️’s original sound",2.1M,5-15
https://www.tiktok.com/@smackmabojana/video/7406672628989087008,Our body TEA 🍵 litteraly.#floptok😍😍😭😌🤞💅💅 #fouryou  created by smackmabojana with smackmabojana’s original sound,436.2K,8-24
https://www.tiktok.com/@lovelybearxxx/video/7405344481530236192,Body tea💗#prettygirls #asiangirl #fyp  created by bear with Liyiah’s original sound,118.2K,8-20
https://www.tiktok.com/@nikoleeduhh/video/7386409718446820654, created by Nikolee™️ with Money Mu’s Hittin',943K,6-30
