link,text,views,date
https://www.tiktok.com/@atlanticrecords/video/7385634872661921066,"Obsessed with @Charli XCX, @Troye Sivan & @terrencefoconnor doing the apple dance 🍏  DC: @Kelley Heyer  #charlixcx #brat  created by Atlantic Records with Charli xcx’s Apple",12.3M,6-28
https://www.tiktok.com/@graciesplaylist/video/7394449970218257670,apple - charli xcx #brat #apple #charlixcx #graciesplaylist #fyp  created by lyrics 🎧🎵 with Charli xcx’s Apple,6.1M,7-22
https://www.tiktok.com/@nmillz1/video/7429866605259148587,Kamala is BRAT 💚  created by Noah Miller with vania’s original sound,2.3M,5d ago
https://www.tiktok.com/@rodeo_reviews/video/7428075000646667550,Awesome sauce🤑👍 #charlixcx #brat #bratsummer #kanyewest #capcut #raptok #2024 #albumoftheyear  created by rodeo_reviews with Charli xcx’s Apple,33.9K,10-21
https://www.tiktok.com/@neikoyun/video/7406355023610826017,We do love a good brat #dom #brat #kinktok #brattamer  created by NeikoYun with Jack.pham_’s original sound,50.1K,8-23
https://www.tiktok.com/@dtionroblox/video/7402275228396604704,@Charli XCX “BRAT” x DTI #DressToImpress #Roblox #Brat #Bratsummer #dtixbrat created by Dress To Impress 🕸️ with Dress To Impress 🕸️’s original sound,15.3M,8-12
https://www.tiktok.com/@brookieandjessie/video/7388977788981726496,brat summer 💚 created by brookieandjessie with Charli xcx’s Apple,26.3M,7-7
https://www.tiktok.com/@bflans/video/7430080736901778734,Brat Halloween 💚 #charlixcx #charlixcxbrat #charli #brat #halloweenlook #halloweencostume  created by Breana 🫦 with champagnemami’s in my bag,22.8K,5d ago
https://www.tiktok.com/@k.smudge/video/7318937267614108971,Before the trend is officially over I figured us #brats needed one #bratenergyalways #gremlin #tiktoktrend #fyp #fypシ #alt #daycollar #foryou #nextup1mil  created by Kimberly (Smudge) H with Kimberly (Smudge) H’s original sound,33.1K,2023-12-31
https://www.tiktok.com/@bratsbaby03/video/7431547725218368810,"st. chroma by tyler, the creator (feat. daniel ceaser) | #tylerthecreator #danielcaesar #chromakopia #stchroma #brat #lyrics   i kinda hate the different colors but we live and learn  created by sof with sof’s original sound",365.2K,1d ago
https://www.tiktok.com/@herminemaktabii/video/7430195758541835542,Halloween is so julia 💚 @Charli XCX #fyp #halloween #charlixcx #brat  created by Hermine Maktabi with e’s original sound,15.9K,4d ago
https://www.tiktok.com/@whataboutcolour/video/7430537378957217056,Just in case you need a couple costume for Halloween💚 #charlixcx #troyesivan #brat #couplecostumes #halloween #halloweencostume #viral #theclick #sweattour #fy @Charli XCX @Troye Sivan  created by Emma Figliuzzi with Knewnow’s Original sound FOLLOW,25.8K,4d ago
https://www.tiktok.com/@atlanticrecords/video/7385634872661921066,"Obsessed with @Charli XCX, @Troye Sivan & @terrencefoconnor doing the apple dance 🍏  DC: @Kelley Heyer  #charlixcx #brat  created by Atlantic Records with Charli xcx’s Apple",12.3M,6-28
https://www.tiktok.com/@graciesplaylist/video/7394449970218257670,apple - charli xcx #brat #apple #charlixcx #graciesplaylist #fyp  created by lyrics 🎧🎵 with Charli xcx’s Apple,6.1M,7-22
https://www.tiktok.com/@nmillz1/video/7429866605259148587,Kamala is BRAT 💚  created by Noah Miller with vania’s original sound,2.3M,5d ago
https://www.tiktok.com/@rodeo_reviews/video/7428075000646667550,Awesome sauce🤑👍 #charlixcx #brat #bratsummer #kanyewest #capcut #raptok #2024 #albumoftheyear  created by rodeo_reviews with Charli xcx’s Apple,33.9K,10-21
https://www.tiktok.com/@neikoyun/video/7406355023610826017,We do love a good brat #dom #brat #kinktok #brattamer  created by NeikoYun with Jack.pham_’s original sound,50.1K,8-23
https://www.tiktok.com/@dtionroblox/video/7402275228396604704,@Charli XCX “BRAT” x DTI #DressToImpress #Roblox #Brat #Bratsummer #dtixbrat created by Dress To Impress 🕸️ with Dress To Impress 🕸️’s original sound,15.3M,8-12
https://www.tiktok.com/@brookieandjessie/video/7388977788981726496,brat summer 💚 created by brookieandjessie with Charli xcx’s Apple,26.3M,7-7
https://www.tiktok.com/@bflans/video/7430080736901778734,Brat Halloween 💚 #charlixcx #charlixcxbrat #charli #brat #halloweenlook #halloweencostume  created by Breana 🫦 with champagnemami’s in my bag,22.8K,5d ago
https://www.tiktok.com/@k.smudge/video/7318937267614108971,Before the trend is officially over I figured us #brats needed one #bratenergyalways #gremlin #tiktoktrend #fyp #fypシ #alt #daycollar #foryou #nextup1mil  created by Kimberly (Smudge) H with Kimberly (Smudge) H’s original sound,33.1K,2023-12-31
https://www.tiktok.com/@bratsbaby03/video/7431547725218368810,"st. chroma by tyler, the creator (feat. daniel ceaser) | #tylerthecreator #danielcaesar #chromakopia #stchroma #brat #lyrics   i kinda hate the different colors but we live and learn  created by sof with sof’s original sound",365.2K,1d ago
https://www.tiktok.com/@herminemaktabii/video/7430195758541835542,Halloween is so julia 💚 @Charli XCX #fyp #halloween #charlixcx #brat  created by Hermine Maktabi with e’s original sound,15.9K,4d ago
https://www.tiktok.com/@whataboutcolour/video/7430537378957217056,Just in case you need a couple costume for Halloween💚 #charlixcx #troyesivan #brat #couplecostumes #halloween #halloweencostume #viral #theclick #sweattour #fy @Charli XCX @Troye Sivan  created by Emma Figliuzzi with Knewnow’s Original sound FOLLOW,25.8K,4d ago
https://www.tiktok.com/@itsjohnwalsh/video/7394627915570253099,How does one become #BRAT ✅ An explanation of what having a #BRATsummer means specifically for #KamalaHarris 💚 #charlixcx #fyp  created by itsjohnwalsh with itsjohnwalsh’s original sound,1.9M,7-22
https://www.tiktok.com/@eduedoug/video/7424972427609836805,apple dance and it’s the same but we’re wearing brat costumes so it’s not @Charli XCX @CHARLI XCX Latam #brat #bratsummer #halloweencostume #charlixcx  created by edu&doug with Charli xcx’s Apple,676.8K,10-12
https://www.tiktok.com/@k.smudge/video/7224523793119579435,"but you gotta make the face while you do it, otherwise it just doesn't sink in as well #brat #bratenergy #spicy #hottake #lifehack #fyp #foryou #onmyway100k #fypシ #alt #daycollar  created by Kimberly (Smudge) H with Kimberly (Smudge) H’s original sound",121.5K,2023-4-21
https://www.tiktok.com/@sxrgito/video/7428256422196006187,rip 👼🏼 @Charli XCX #charlixcx #troyesivan #sweattour #brat  created by sergio with sergio’s original sound,4.9M,10-21
https://www.tiktok.com/@lizarragabooks/video/7395448887168814366,What does Brat Mean? #tiktokslang #fyp #words #englishlanguage #brat #kamalaharris  created by Jess 📇 author ✍️ with Jess 📇 author ✍️’s original sound,379.3K,7-25
https://www.tiktok.com/@brat/video/7426810376378928415,#The4pmClub | 💃🕺 Episode One of our new show ‘The 4pm Club’ is OUT NOW! 🤪 #fyp  @VeniceMayBoutique @kaidoleerobertslife  #foryou #duo #kaidoleeroberts #venicewong #brattv #newepisode #dance #dancetok #trend #handuponmyhip  created by Brat TV with sam🤩’s original sound,1.7M,10-17
https://www.tiktok.com/@rattleheadcrafts/video/7430697027652128043,b(rat) 🐀💚  #brat #charlixcx #halloween created by Rattlehead Crafts with Charli xcx & Billie Eilish’s Guess featuring billie eilish,19.1K,3d ago
https://www.tiktok.com/@genius/video/7427246009756945694,what does it mean to be ‘brat’? 🤔 we asked fans at the #sweattour if they could define it for us 🎶💚 #genius #charlixcx #brat #troyesivan #losangeles #kiaforum #fanningout  created by Genius with Genius’s original sound,21.3K,10-18
https://www.tiktok.com/@biscuititom/video/7392324015660076294,;; #DORKDIARIES ! #TIFFANYDAVENPORT ! #BRAT | editing my wife!!1!1!1 @Rachel Renee Russell  tags! : @jayussy @jay @♦️::Charlie (Liu bei 1#kinnie) @— Your Local Andy! — @James ⭐️ @mutant (hi :3) @⭐︎ Milo/Marvus 🇹🇷🍉 @☆Ruith/Neptune•💭🏝/♈️🪣☆ @⁺˚⋆｡°✩₊✩°｡⋆˚⁺ @Irem !! 🍉 @POLTERGEIST #dorkdiaries #dorkdiariesedit #edit #brat #365 #brat365 #365brat #fyp #parati #xyzbca #dorkdiariestiffany  created by tiffany davenport's #1 enjoyer with Charli xcx’s 365,5.3M,7-16
https://www.tiktok.com/@pastelm0m/video/7377806339860401451,Not him ripping the covers off of me 🥵 #fyp #brat #horror  created by pastelm0m with Funny Sound Effects’s original sound,2.1M,6-7
https://www.tiktok.com/@pierson/video/7394899386406358314,brents brat summer went too hard i think🫃 created by Pierson with Charli xcx’s Apple,560.7K,7-23
https://www.tiktok.com/@ace.txt_/video/7413348776204651783,Brat #brat #charli #bumpinthat #360  created by Dr4cvl4sCh1ld with Dr4cvl4sCh1ld’s original sound,15.3M,9-11
https://www.tiktok.com/@atlanticrecords/video/7385634872661921066,"Obsessed with @Charli XCX, @Troye Sivan & @terrencefoconnor doing the apple dance 🍏  DC: @Kelley Heyer  #charlixcx #brat  created by Atlantic Records with Charli xcx’s Apple",12.3M,6-28
https://www.tiktok.com/@graciesplaylist/video/7394449970218257670,apple - charli xcx #brat #apple #charlixcx #graciesplaylist #fyp  created by lyrics 🎧🎵 with Charli xcx’s Apple,6.1M,7-22
https://www.tiktok.com/@nmillz1/video/7429866605259148587,Kamala is BRAT 💚  created by Noah Miller with vania’s original sound,2.3M,5d ago
https://www.tiktok.com/@rodeo_reviews/video/7428075000646667550,Awesome sauce🤑👍 #charlixcx #brat #bratsummer #kanyewest #capcut #raptok #2024 #albumoftheyear  created by rodeo_reviews with Charli xcx’s Apple,33.9K,10-21
https://www.tiktok.com/@neikoyun/video/7406355023610826017,We do love a good brat #dom #brat #kinktok #brattamer  created by NeikoYun with Jack.pham_’s original sound,50.1K,8-23
https://www.tiktok.com/@dtionroblox/video/7402275228396604704,@Charli XCX “BRAT” x DTI #DressToImpress #Roblox #Brat #Bratsummer #dtixbrat created by Dress To Impress 🕸️ with Dress To Impress 🕸️’s original sound,15.3M,8-12
https://www.tiktok.com/@brookieandjessie/video/7388977788981726496,brat summer 💚 created by brookieandjessie with Charli xcx’s Apple,26.3M,7-7
https://www.tiktok.com/@bflans/video/7430080736901778734,Brat Halloween 💚 #charlixcx #charlixcxbrat #charli #brat #halloweenlook #halloweencostume  created by Breana 🫦 with champagnemami’s in my bag,22.8K,5d ago
https://www.tiktok.com/@k.smudge/video/7318937267614108971,Before the trend is officially over I figured us #brats needed one #bratenergyalways #gremlin #tiktoktrend #fyp #fypシ #alt #daycollar #foryou #nextup1mil  created by Kimberly (Smudge) H with Kimberly (Smudge) H’s original sound,33.1K,2023-12-31
https://www.tiktok.com/@bratsbaby03/video/7431547725218368810,"st. chroma by tyler, the creator (feat. daniel ceaser) | #tylerthecreator #danielcaesar #chromakopia #stchroma #brat #lyrics   i kinda hate the different colors but we live and learn  created by sof with sof’s original sound",365.2K,1d ago
https://www.tiktok.com/@herminemaktabii/video/7430195758541835542,Halloween is so julia 💚 @Charli XCX #fyp #halloween #charlixcx #brat  created by Hermine Maktabi with e’s original sound,15.9K,4d ago
https://www.tiktok.com/@whataboutcolour/video/7430537378957217056,Just in case you need a couple costume for Halloween💚 #charlixcx #troyesivan #brat #couplecostumes #halloween #halloweencostume #viral #theclick #sweattour #fy @Charli XCX @Troye Sivan  created by Emma Figliuzzi with Knewnow’s Original sound FOLLOW,25.8K,4d ago
https://www.tiktok.com/@itsjohnwalsh/video/7394627915570253099,How does one become #BRAT ✅ An explanation of what having a #BRATsummer means specifically for #KamalaHarris 💚 #charlixcx #fyp  created by itsjohnwalsh with itsjohnwalsh’s original sound,1.9M,7-22
https://www.tiktok.com/@eduedoug/video/7424972427609836805,apple dance and it’s the same but we’re wearing brat costumes so it’s not @Charli XCX @CHARLI XCX Latam #brat #bratsummer #halloweencostume #charlixcx  created by edu&doug with Charli xcx’s Apple,676.8K,10-12
https://www.tiktok.com/@k.smudge/video/7224523793119579435,"but you gotta make the face while you do it, otherwise it just doesn't sink in as well #brat #bratenergy #spicy #hottake #lifehack #fyp #foryou #onmyway100k #fypシ #alt #daycollar  created by Kimberly (Smudge) H with Kimberly (Smudge) H’s original sound",121.5K,2023-4-21
https://www.tiktok.com/@sxrgito/video/7428256422196006187,rip 👼🏼 @Charli XCX #charlixcx #troyesivan #sweattour #brat  created by sergio with sergio’s original sound,4.9M,10-21
https://www.tiktok.com/@lizarragabooks/video/7395448887168814366,What does Brat Mean? #tiktokslang #fyp #words #englishlanguage #brat #kamalaharris  created by Jess 📇 author ✍️ with Jess 📇 author ✍️’s original sound,379.3K,7-25
https://www.tiktok.com/@brat/video/7426810376378928415,#The4pmClub | 💃🕺 Episode One of our new show ‘The 4pm Club’ is OUT NOW! 🤪 #fyp  @VeniceMayBoutique @kaidoleerobertslife  #foryou #duo #kaidoleeroberts #venicewong #brattv #newepisode #dance #dancetok #trend #handuponmyhip  created by Brat TV with sam🤩’s original sound,1.7M,10-17
https://www.tiktok.com/@rattleheadcrafts/video/7430697027652128043,b(rat) 🐀💚  #brat #charlixcx #halloween created by Rattlehead Crafts with Charli xcx & Billie Eilish’s Guess featuring billie eilish,19.1K,3d ago
https://www.tiktok.com/@genius/video/7427246009756945694,what does it mean to be ‘brat’? 🤔 we asked fans at the #sweattour if they could define it for us 🎶💚 #genius #charlixcx #brat #troyesivan #losangeles #kiaforum #fanningout  created by Genius with Genius’s original sound,21.3K,10-18
https://www.tiktok.com/@biscuititom/video/7392324015660076294,;; #DORKDIARIES ! #TIFFANYDAVENPORT ! #BRAT | editing my wife!!1!1!1 @Rachel Renee Russell  tags! : @jayussy @jay @♦️::Charlie (Liu bei 1#kinnie) @— Your Local Andy! — @James ⭐️ @mutant (hi :3) @⭐︎ Milo/Marvus 🇹🇷🍉 @☆Ruith/Neptune•💭🏝/♈️🪣☆ @⁺˚⋆｡°✩₊✩°｡⋆˚⁺ @Irem !! 🍉 @POLTERGEIST #dorkdiaries #dorkdiariesedit #edit #brat #365 #brat365 #365brat #fyp #parati #xyzbca #dorkdiariestiffany  created by tiffany davenport's #1 enjoyer with Charli xcx’s 365,5.3M,7-16
https://www.tiktok.com/@pastelm0m/video/7377806339860401451,Not him ripping the covers off of me 🥵 #fyp #brat #horror  created by pastelm0m with Funny Sound Effects’s original sound,2.1M,6-7
https://www.tiktok.com/@pierson/video/7394899386406358314,brents brat summer went too hard i think🫃 created by Pierson with Charli xcx’s Apple,560.7K,7-23
https://www.tiktok.com/@ace.txt_/video/7413348776204651783,Brat #brat #charli #bumpinthat #360  created by Dr4cvl4sCh1ld with Dr4cvl4sCh1ld’s original sound,15.3M,9-11
