link,text,views,date
https://www.tiktok.com/@saradaigle28/video/7322490782609345835,wtf does “coded” mean #coded #genzwords #genalphaslang #slanguage #helpme #plshelp #whatdoesthismean  created by saraaa with saraaa’s original sound,6950,1-10
https://www.tiktok.com/@nofac3babii/video/7298086401500040494,Ngl ts starting to get ridiculous 🙄 #foryoupage #coded #skit #nofacebabii  created by NoFaceBabii with ADTurnUp’s Late Night Drive,3562,2023-11-5
https://www.tiktok.com/@callmehhaley/video/7428399111075974446,ALL *WORKING* CODES In DRESS TO IMPRESS #dresstoimpress #roblox #dresstoimpressroblox #dresstoimpresscodes  created by callmehhaley with PeriTune’s Halloween ・ cute horror song,5.7M,10-21
https://www.tiktok.com/@haleyybaylee/video/7316982012072578346,And I’m literally a millennial created by haleyybaylee with 🪼🦈’s I WANT SOMETHING THAT I WANT,661.1K,2023-12-26
https://www.tiktok.com/@lanaslifeee/video/7427543314972298527,Comment Your FAVORITE ITEM/or HALLOWEEN UPDATE in The DRESS TO IMPRESS on ROBLOX… 🎃👻 created by Lana Rae 💗 • Roblox Girl with Aiden Music’s Jump (Jumpstyle TikTok) - Slowed,3.1M,10-19
https://www.tiktok.com/@kazytho_/video/7333278106385485099,Every comp sci major been through this #compsci #codinglife #cybersecurity #java #collegestudent #finals #coding  created by Kazy_ with Kazy_’s original sound,2.8M,2-8
https://www.tiktok.com/@sajjaadkhader/video/7342176048592751902,learning to code amidst the AI takeover ⁉️#coding #compsci #computerscience #ai #fyp created by Sajjaad Khader with Sajjaad Khader’s original sound,329K,3-3
https://www.tiktok.com/@jus444aylah/video/7419521167603567918,i js wanna wear what i want to wear #dresscode #theyshouldreallyEMAAAAA  created by Aylah⚰️ with John + Jane Q. Public’s Watermelon,1.7M,9-27
https://www.tiktok.com/@getneonsupply/video/7335853670652906798,"What does Coded mean on TikTok? Lets' break down the meaning for you. #coded #codedmeaning #slang #trend created by Trends, Branding, and Growth with Trends, Branding, and Growth’s original sound - Fusion Marketing Experts",37.1K,2-15
https://www.tiktok.com/@evolvedata22/video/7250355072511626539,Python Project for Beginners 👨‍💻🐍 #coding #programming #softwareengineer #fyp #python  created by Evolve - Data & Code with Domknowz’s Lofi,1.6M,2023-6-30
