link,text,views,date
https://www.tiktok.com/@6coreyl/video/7409396014681034014,#prisontok on a saturday created by LOVE GALORE with NESYA’s delulu,39.5M,8-31
https://www.tiktok.com/@maximbadyofficial/video/7277368519002426666,Are you delulu shirt is also next to the delulu is not the solulu shirt created by Maximbady with Maximbady’s original sound,3.5M,2023-9-10
https://www.tiktok.com/@realism060/video/7420519932519091499,Delulu ^ Nesya #lyrics_songs #lyricsmusic #lyrics  created by Realism with NESYA’s delulu,86.2K,9-30
https://www.tiktok.com/@grandshores/video/7430928929109773614,Unfortunately I am a bit delulu 🙂‍↕️#fyp #delulu  created by mrshane2x with NESYA’s delulu,4574,3d ago
https://www.tiktok.com/@nariman.dein/video/7381069908278349063,#comedy #westernsydney #fyp #insideout #insideout2 #delulu #delulugirl #funny  created by nariman with .’s original sound,2.4M,6-16
https://www.tiktok.com/@6coreyl/video/7431453814303214894,Enjoy your halloween lovers #lovegalore  created by LOVE GALORE with NESYA’s delulu,1.3M,1d ago
https://www.tiktok.com/@cweamygushy/video/7415068094692904234,Delulu forever #fyp #fy #song #trending @LOVE GALORE  created by Nesya with NESYA’s delulu,35.1M,9-15
https://www.tiktok.com/@keeno3.0/video/7418090713121852714,But you could never be my girl 👎🏾 #esl #delulu #fyp #zxycba  created by Keeno3 with NESYA’s delulu,18.9M,9-24
https://www.tiktok.com/@ms.deluludess/video/7431730667244883242, created by Ms.deluludess with CDK COMPANY’s origineel geluid,51.4K,20h ago
https://www.tiktok.com/@ms_tentacles/video/7380407526283578629,I payed him to film this #love #couple #cute #trend #delulu  created by Ms_Tentacles with Str!ker Dezzo’s original sound,1.6M,6-14
https://www.tiktok.com/@nadinebreaty/video/7431628466002414881,Miss delulu ✨💞 created by nadinebreaty with kaylee’s original sound,94.1K,1d ago
https://www.tiktok.com/@sackierecords/video/7427309879607479557,YUH TOO DELULU #delusional out now created by Sackie Records with Sackie Records’s original sound,47.6K,10-18
https://www.tiktok.com/@6coreyl/video/7409396014681034014,#prisontok on a saturday created by LOVE GALORE with NESYA’s delulu,39.5M,8-31
https://www.tiktok.com/@maximbadyofficial/video/7277368519002426666,Are you delulu shirt is also next to the delulu is not the solulu shirt created by Maximbady with Maximbady’s original sound,3.5M,2023-9-10
