link,text,views,date
https://www.tiktok.com/@championsleague/video/7411121870415695136,End of a beautiful era ❤️ #UCL #Messi #Ronaldo created by Champions League with Gibran Alcocer’s Solas,14.7M,9-5
https://www.tiktok.com/@nataliezacek/video/7427603035708230958,I am SO SO SO excited😭 which is ur fav era?? created by nataliezacek with Taylor Swift’s Lover,118.6K,10-19
https://www.tiktok.com/@marryourcrazy/video/7359938770977705259,#fyp #boujiemarr #era  created by M4♣️ with cait’s your gf wants to be mine,3.3M,4-20
https://www.tiktok.com/@srinenaaa/video/7414792504349838598,#nostalgia #vibes2020 #fypppppppppppppp #4u #foryou #2020 #fypp #fypppp #era #fypppppppppppppp #fypppppppppppppp #foryourpage #kapanfyp #plsviral  created by 🫧 with 🫧’s original sound - 🫧,7.5M,9-15
https://www.tiktok.com/@xeviuniverse/video/7186084321642515755,Era circa before 2010? created by Xevi with Xevi’s original sound,7.3M,2023-1-7
https://www.tiktok.com/@iamdaniadriana/video/7346427734098185479,@Taylor Swift @Taylor Nation about to watch the eras tour Taylor’s version but what am I supposed to wear? #theerastourtaylorswift #theerastour #taylorsversion #swiftie #swift #taylornation  created by Dani (taylor’s version) with Blushing Brunette’s original sound,17.4M,3-14
https://www.tiktok.com/@yuremdelrey/video/7315494359460367658,"I miss 2020 so much, been using led lights for 4 years now #2020 #ledlights #indie #indieaesthetic #kidcore #subwaysurfer #indie2020 #zoom #onlineschool #covid #🍄🐸🌈⚡️ #yuremdelrey #endofanera #era #real #fyp #viral  created by yurem with Aaliyah’s Florida project x kids by current joys",2.5M,2023-12-22
https://www.tiktok.com/@catkucharzyk/video/7392844705911901483,duh #era #bad #followers #loveyou forever era 😈 created by cat🐈‍⬛ with Peter ♚’s som original - Peter ♚,4930,7-18
https://www.tiktok.com/@jistroxlr7/video/7388602712532782342,Miss this era... | idea by:me | #minecraft #monsterschool #monsterschooledit #minecraftedit #edit #fyp #foryou #viral #foryourpage #jistro4edit  created by 𝖏𝖎𝖘𝖙𝖗𝖔 ♕ with 𝖏𝖎𝖘𝖙𝖗𝖔 ♕’s original sound,5.1M,7-6
https://www.tiktok.com/@morgavery/video/7179113286120508715,🫣🫣🫣 #myeras #fyp #trending #viral  created by Morgan Avery with speed up songs 🤕🖐🏼’s azealia banks competition sped up,148.4K,2022-12-20
https://www.tiktok.com/@erabulan.area/video/7309332569512807685,bulan b nya bengek. emang boleh se act of service itu kak era? #era #bulan #erabulan #bulanera #rabul #bulra  created by bucinnya era bulan with Rian DTM’s Dj Ayo Semua Tangan Di Atas Viral,13.3M,2023-12-5
https://www.tiktok.com/@princessameliawu/video/7393621763881454891,New car eraaaaa 😖😖😖 created by Princess Amelia with Megan Thee Stallion’s Mamushi (feat. Yuki Chiba),21.2M,7-20
https://www.tiktok.com/@championsleague/video/7411121870415695136,End of a beautiful era ❤️ #UCL #Messi #Ronaldo created by Champions League with Gibran Alcocer’s Solas,14.7M,9-5
https://www.tiktok.com/@nataliezacek/video/7427603035708230958,I am SO SO SO excited😭 which is ur fav era?? created by nataliezacek with Taylor Swift’s Lover,118.6K,10-19
https://www.tiktok.com/@marryourcrazy/video/7359938770977705259,#fyp #boujiemarr #era  created by M4♣️ with cait’s your gf wants to be mine,3.3M,4-20
