link,text,views,date
https://www.tiktok.com/@tillyjoannn/video/7414175725755944235,@khlo is perfect and i could stare at her all day 😽 cred to @Florence  created by tilly with Mango skylar 🥭’s sonido original,33.4M,9-13
https://www.tiktok.com/@axel.pulls/video/7419079648161680671,not cool  created by Axel.pulls with Leana’s unfazed by jankai,2.8M,9-26
https://www.tiktok.com/@getneonsupply/video/7338166260729023790,"What is Face Card? Let's break down the meaning for you. #facecard #meaning #trending #explained created by Trends, Branding, and Growth with Trends, Branding, and Growth’s original sound - Fusion Marketing Experts",3.5M,2-21
https://www.tiktok.com/@theharperneal/video/7416127019206954282, created by 🌾 H A R P E R 🌾 with Mango skylar 🥭’s sonido original,19.8M,9-18
https://www.tiktok.com/@fatycherie777/video/7391881958675991841,Face card never declined  created by 🫧FATIMA🫧 with cesar’s sonido original,6.1M,7-15
https://www.tiktok.com/@joelll2shiesty/video/7418639732860538158,#fyp @kaiyana  created by Joel with Mango skylar 🥭’s sonido original,20M,9-25
https://www.tiktok.com/@yahneofficial/video/7361168022817590571,Face Card Never Declines Vlog 💅🏾💅🏾💅🏾 What should I buy next ? Comment below #facecard #facecardneverdeclines #bathandbodyworks @Bath & Body Works #rich  created by Yahneofficial with Yahneofficial’s original sound,542.4K,4-23
https://www.tiktok.com/@kenzibffr/video/7423897266085268778,my lip products never run out tho 😭🙏🙏 #fyp #smalllips #cooked created by kenzi 🌀 with Leana’s unfazed by jankai,9.3M,10-9
https://www.tiktok.com/@ram0nald/video/7423455154277551393,Shouldve been the other way around tho  #fy #foryou #fyp #viral #foryoupage #facecard  @𝔨 🩷 created by ram0nald with Mango skylar 🥭’s sonido original,8.4M,10-8
https://www.tiktok.com/@amandastrands/video/7424997080818650400,@Andrea Carlén #facecard #fyp  created by Amanda Strand with Mango skylar 🥭’s sonido original,4.8M,10-12
https://www.tiktok.com/@katelyn.breann/video/7424650565017144606,this was definitely landons idea😇😇😇 #fyp #siblings created by kb💌 with kb💌’s original sound,194.2K,10-11
https://www.tiktok.com/@yahneofficial/video/7391208368368635167,When your man broke but your Face Card Never Declines 💅🏾💅🏾💅🏾 @KingBach I don’t know why you chose CVS out of all places to go 🤣 #lol #facecard #facecardneverdeclines #fcnd created by Yahneofficial with Yahneofficial Fan Page’s Rich Yahneofficial stanley,10.8M,7-13
https://www.tiktok.com/@tillyjoannn/video/7414175725755944235,@khlo is perfect and i could stare at her all day 😽 cred to @Florence  created by tilly with Mango skylar 🥭’s sonido original,33.4M,9-13
https://www.tiktok.com/@axel.pulls/video/7419079648161680671,not cool  created by Axel.pulls with Leana’s unfazed by jankai,2.8M,9-26
https://www.tiktok.com/@getneonsupply/video/7338166260729023790,"What is Face Card? Let's break down the meaning for you. #facecard #meaning #trending #explained created by Trends, Branding, and Growth with Trends, Branding, and Growth’s original sound - Fusion Marketing Experts",3.5M,2-21
https://www.tiktok.com/@theharperneal/video/7416127019206954282, created by 🌾 H A R P E R 🌾 with Mango skylar 🥭’s sonido original,19.8M,9-18
https://www.tiktok.com/@fatycherie777/video/7391881958675991841,Face card never declined  created by 🫧FATIMA🫧 with cesar’s sonido original,6.1M,7-15
https://www.tiktok.com/@joelll2shiesty/video/7418639732860538158,#fyp @kaiyana  created by Joel with Mango skylar 🥭’s sonido original,20M,9-25
https://www.tiktok.com/@yahneofficial/video/7361168022817590571,Face Card Never Declines Vlog 💅🏾💅🏾💅🏾 What should I buy next ? Comment below #facecard #facecardneverdeclines #bathandbodyworks @Bath & Body Works #rich  created by Yahneofficial with Yahneofficial’s original sound,542.4K,4-23
