link,text,views,date
https://www.tiktok.com/@danielle.fewings/video/7256963145535622443,Girl dinner to the extreme #girldinner #girldinners #girldinnersong  created by Danielle Fewings with Karma Carr’s original sound,4.3M,2023-7-17
https://www.tiktok.com/@ilonamaher/video/7269158586352274730,Does @Olivia Maher the Girl Dinner Queen approve? created by Ilona Maher with Ilona Maher’s original sound,586.1K,2023-8-19
https://www.tiktok.com/@liviemaher/video/7253280795987594538,Keep tagging me in your girl dinners 🫶🏻 #girldinner #girldinners  created by Olivia Maher with Karma Carr’s original sound,1M,2023-7-7
https://www.tiktok.com/@karmapilled/video/7254676792446012718,man i wish i had professional editing software for these anyway here it is(alt: @karma (´◠ω◠`) ) also @Arkane Skye              🪳 you completely inspired me here the boy dinner is beautiful  created by Karma Carr with Karma Carr’s original sound,20.8M,2023-7-11
https://www.tiktok.com/@peachyqueenofficial/video/7280265216951143710,What’s my girl dinner? #girldinner  created by Peachy Queen with Peachy Queen’s original sound,3M,2023-9-18
https://www.tiktok.com/@people/video/7398249094759599403,#TeamUSA #rugby star #IlonaMaher isn’t the only viral star in her family! 😎 #GirlDinner #Olympics #ParisOlympics @Ilona Maher @Olivia Maher  created by People Magazine with People Magazine’s original sound,4.9M,8-1
https://www.tiktok.com/@dumbwaystodie/video/7268255166804036882,add a little bit of spice ✨ @um #girldinner  created by Dumb Ways to Die with Karma Carr’s original sound,5.8M,2023-8-17
https://www.tiktok.com/@angelac0123/video/7317737510661147946,Girl dinner🤦🏻‍♀️😂 created by Angela with Angela’s original sound,4.2M,2023-12-28
https://www.tiktok.com/@esmeececilia/video/7279744924399062304,#slay #girldinner  created by ESME with Karma Carr’s original sound,2.3M,2023-9-17
https://www.tiktok.com/@briannaguidryy/video/7260604154656378118,#pov Me in a nursing home using a filter.. #acting #foryou #story #relatable #girldinner  created by Brianna Guidry with Brianna Guidry’s original sound,7M,2023-7-27
https://www.tiktok.com/@swagatronforever2.0/video/7269615379385683242,real girl dinner  created by spam with spam’s original sound,26.8M,2023-8-20
https://www.tiktok.com/@mandatoryfunday/video/7292865289203715374,Girl dinner is a concept that we have only briefly had a word for. Understanding it is crucial and the concept can and should be applied to all people of any gender.  created by MandatoryFunDay with MandatoryFunDay’s original sound,185.6K,2023-10-22
https://www.tiktok.com/@danielle.fewings/video/7256963145535622443,Girl dinner to the extreme #girldinner #girldinners #girldinnersong  created by Danielle Fewings with Karma Carr’s original sound,4.3M,2023-7-17
