link,text,views,date
https://www.tiktok.com/@444pray/video/7387193039577550085,Hey Pookie created by Prayag with LeoStayTrill & Mr Reload It’s Pink Lemonade (Str8 Reload),33.8M,7-2
https://www.tiktok.com/@campbellhuntpuckett/video/7343391603018435871,"snow day in Cortina, Italy❄️🇮🇹 #couple #love #outfit #pookie  created by Campbell Puckett with Campbell Puckett’s original sound",3.8M,3-6
https://www.tiktok.com/@campbellhuntpuckett/video/7426137252419456302,Find Jett on the dance floor #trending #transition #wedding #couple #pookie  created by Campbell Puckett with Freak Nasty’s Da' Dip (ORIGINAL),2.6M,10-15
https://www.tiktok.com/@realsteiny/video/7397944106930031918,She finally showed off Pookie… #fyp #nelk #fullsend #pookie #haileywelch  created by Steiny with Steiny’s original sound,1.7M,7-31
https://www.tiktok.com/@talktuahpod/video/7430518696335985963,Its almost that time again 😉 @Hay_welch #halieywelch #hawktuah #talktuahpod #talktuah #pookie  created by Talk Tuah with Haliey Welch with Talk Tuah with Haliey Welch’s original sound,2.4M,4d ago
https://www.tiktok.com/@krytianekk/video/7375212653351832864,pookie i saw that 😨 @Fan Teenz Forever💋💖 @GoldenHoney @ig Blosk.aa @justaaa💙 @🐚✿Gumisiek✿🦪 @✩°｡ ⋆⸜ 🎧✮ #fypシ #fyp #basement #kids #pookie #pookiewookie #pookiebear  created by RIIZE IS 7 || Han stan 🐿 with BINGCHILLING’s original sound - BINGCHILLING,132.8K,5-31
https://www.tiktok.com/@maliciousswhiteboy/video/7314558497956334890,Come out come out wherever you are #pookie #pookiebear #inyourwalls #fyp  created by Angel with seamoretheseal’s Areyoureallysilly,1.3M,2023-12-20
https://www.tiktok.com/@cc_edits49/video/7390382319120502048,love you❤️❤️@Luca 💥🦍 #Meme #MemeCut #CapCut #meme #sweetlittlebumblebee #blackman #dance #funny #pookie #pookiebear  created by cc_edits with Mateo Lucas’s sonido original,1.4M,7-11
https://www.tiktok.com/@talktuahedit/video/7415203112475987233,Pookie is still in the picture #pookie #haileywelsh #hawktuah #talktuah #podcast #interview #foryou  created by Talk Tuah Edit with Clip Tuah’s original sound,1.5M,9-16
https://www.tiktok.com/@mlb/video/7431790946645265706,pookie is glowing 😭 #dodgers #shoheiohtani #大谷翔平 #baseball #worldseries  created by MLB with Noru’s Calm and Peaceful Piano Solo Music(1444021),1.2M,16h ago
