link,text,views,date
https://www.tiktok.com/@queenofficial/video/7431639340708613418,Hard to believe it’s been half a century since this release #QueenOnTikTok  created by Queen with Queen’s original sound,128.5K,1d ago
https://www.tiktok.com/@queenofficial/video/7410513797183491371,Freddie Mercury is the Queen of one-liners pt. 2 #QueenOnTikTok  created by Queen with Queen’s original sound,932.7K,9-3
https://www.tiktok.com/@queenofficial/video/7406409576204995882,The energy this performance provides is truly unmatched 🔥 #QueenOnTikTok  created by Queen with Queen’s original sound,572.9K,8-23
https://www.tiktok.com/@queenofficial/video/7400853243091258666,"If you look up “aura” in the dictionary, there will be a picture of Freddie 👑 #QueenOnTikTok  created by Queen with Queen’s original sound",995.4K,8-8
https://www.tiktok.com/@crown.naija/video/7374068938444934443,Yemen it is 🇲🇽  #queen #yemen #queennaija #fyp #foryou #arabic #arab #viral #arabdance #yemeksepeti #funny #funnyvjdeo created by 👑 Naija with 👑 Naija’s original sound,2.5M,5-28
https://www.tiktok.com/@livmercury/video/7431684309376896288,like its literally in the music video?? -tags- #queen #bandqueen #queenband #wewillrockyou #queenwewillrockyou #wewillrockyouqueen #70smusic #70s #70ssong #freddiemercury #freddie #mercury #queenfreddiemercury #freddiemercuryqueen #brianmay #brian #may #brianmayqueen #queenbrianmay #rogertaylor #roger #taylor #queenrogertaylor #rogertaylorqueen #johndeacon #john #deacon #queenjohndeacon #johndeaconqueen #foryoupage #fyp #for #you #page #f #y #p #foruoupage #forupageシ #fypppppppppppppppppppppp #foryoupage❤️❤️ #foryour #foru #tiktokfyp #fyptiktok #tiktokviral #viraltiktok #viralfyp — @𝙇𝙤𝙧𝙚𝙣 @fmqcc @𝐓𝗈𝖻𝗒 ★ @ᗰᗩIᘔIE ᗰEᖇᑕᑌᖇY 🪩🎸 @Nolinho.loves.Queen @Freddie || CROMAKOPIA 💚 @kats!!🎧 @ʀᴏɢᴇʀ .ᐟ @Sabine ☆  created by olivia mercury 🫶 with Queen’s We Will Rock You - Remastered 2011,1.6M,23h ago
https://www.tiktok.com/@one_musics_oficial/video/7428347008894782725,#queen #freddiemercury #bohemianrhapsody #liveaid #queenband #fyp  created by One Musics with One Musics’s som original,855.7K,10-21
https://www.tiktok.com/@ellzlyrics/video/7424190416972434694,Bohemian Rhapsody - Queen  [this song is more than a masterpiece] #queen #bohemianrhapsody #lyrics #video #edit #elldzs #freddiemercury #anightattheopera #70s #80s #song #masterpiece  created by ellzlyrics★ with Queen’s Bohemian Rhapsody - Remastered 2011,2.2M,10-10
https://www.tiktok.com/@ellzlyrics/video/7428282055500270853,Killer queen - Queen #killerqueen #queen #lyrics #video #edit #elldzs #freddiemercury #80s #70s  created by ellzlyrics★ with ellzlyrics★’s som original,1.4M,10-21
https://www.tiktok.com/@new60s70srevenge/video/7422660481594199328,Queen - We Will Rock You created by New60s70srevenge with New60s70srevenge’s suono originale - New60s70srevenge,1.5M,10-6
https://www.tiktok.com/@freddiemercury_tli/video/7423828602099158304,Queen - Another One Bites the Dust (Album “The Game” 1980) #freddiemercury #queen #anotheronebitesthedust #thegame #80s #rock #album  created by Freddie Mercury TLI with Queen’s Another One Bites The Dust - Remastered 2011,348.2K,10-9
https://www.tiktok.com/@ellzlyrics/video/7416100176865053957,Bohemian Rhapsody - Queen #queen #bohemianrhapsody #lyrics #video #edit #elldzs #70s #80s  created by ellzlyrics★ with Queen’s Bohemian Rhapsody - Remastered 2011,2.3M,9-18
https://www.tiktok.com/@queenofficial/video/7431639340708613418,Hard to believe it’s been half a century since this release #QueenOnTikTok  created by Queen with Queen’s original sound,128.5K,1d ago
https://www.tiktok.com/@queenofficial/video/7410513797183491371,Freddie Mercury is the Queen of one-liners pt. 2 #QueenOnTikTok  created by Queen with Queen’s original sound,932.7K,9-3
https://www.tiktok.com/@queenofficial/video/7406409576204995882,The energy this performance provides is truly unmatched 🔥 #QueenOnTikTok  created by Queen with Queen’s original sound,572.9K,8-23
https://www.tiktok.com/@queenofficial/video/7400853243091258666,"If you look up “aura” in the dictionary, there will be a picture of Freddie 👑 #QueenOnTikTok  created by Queen with Queen’s original sound",995.4K,8-8
https://www.tiktok.com/@crown.naija/video/7374068938444934443,Yemen it is 🇲🇽  #queen #yemen #queennaija #fyp #foryou #arabic #arab #viral #arabdance #yemeksepeti #funny #funnyvjdeo created by 👑 Naija with 👑 Naija’s original sound,2.5M,5-28
https://www.tiktok.com/@livmercury/video/7431684309376896288,like its literally in the music video?? -tags- #queen #bandqueen #queenband #wewillrockyou #queenwewillrockyou #wewillrockyouqueen #70smusic #70s #70ssong #freddiemercury #freddie #mercury #queenfreddiemercury #freddiemercuryqueen #brianmay #brian #may #brianmayqueen #queenbrianmay #rogertaylor #roger #taylor #queenrogertaylor #rogertaylorqueen #johndeacon #john #deacon #queenjohndeacon #johndeaconqueen #foryoupage #fyp #for #you #page #f #y #p #foruoupage #forupageシ #fypppppppppppppppppppppp #foryoupage❤️❤️ #foryour #foru #tiktokfyp #fyptiktok #tiktokviral #viraltiktok #viralfyp — @𝙇𝙤𝙧𝙚𝙣 @fmqcc @𝐓𝗈𝖻𝗒 ★ @ᗰᗩIᘔIE ᗰEᖇᑕᑌᖇY 🪩🎸 @Nolinho.loves.Queen @Freddie || CROMAKOPIA 💚 @kats!!🎧 @ʀᴏɢᴇʀ .ᐟ @Sabine ☆  created by olivia mercury 🫶 with Queen’s We Will Rock You - Remastered 2011,1.6M,23h ago
https://www.tiktok.com/@one_musics_oficial/video/7428347008894782725,#queen #freddiemercury #bohemianrhapsody #liveaid #queenband #fyp  created by One Musics with One Musics’s som original,855.7K,10-21
https://www.tiktok.com/@ellzlyrics/video/7424190416972434694,Bohemian Rhapsody - Queen  [this song is more than a masterpiece] #queen #bohemianrhapsody #lyrics #video #edit #elldzs #freddiemercury #anightattheopera #70s #80s #song #masterpiece  created by ellzlyrics★ with Queen’s Bohemian Rhapsody - Remastered 2011,2.2M,10-10
https://www.tiktok.com/@ellzlyrics/video/7428282055500270853,Killer queen - Queen #killerqueen #queen #lyrics #video #edit #elldzs #freddiemercury #80s #70s  created by ellzlyrics★ with ellzlyrics★’s som original,1.4M,10-21
https://www.tiktok.com/@new60s70srevenge/video/7422660481594199328,Queen - We Will Rock You created by New60s70srevenge with New60s70srevenge’s suono originale - New60s70srevenge,1.5M,10-6
https://www.tiktok.com/@freddiemercury_tli/video/7423828602099158304,Queen - Another One Bites the Dust (Album “The Game” 1980) #freddiemercury #queen #anotheronebitesthedust #thegame #80s #rock #album  created by Freddie Mercury TLI with Queen’s Another One Bites The Dust - Remastered 2011,348.2K,10-9
https://www.tiktok.com/@ellzlyrics/video/7416100176865053957,Bohemian Rhapsody - Queen #queen #bohemianrhapsody #lyrics #video #edit #elldzs #70s #80s  created by ellzlyrics★ with Queen’s Bohemian Rhapsody - Remastered 2011,2.3M,9-18
https://www.tiktok.com/@queenofficial/video/7422323470647725354,Happy 50th Anniversary to this iconic song 👏 #QueenOnTikTok created by Queen with Queen’s original sound,143.7K,10-5
https://www.tiktok.com/@peaksons/video/7387133623494806817,#queen #dontstopmenow #70smusic  created by peakson with Queen’s Don't Stop Me Now - Remastered 2011,1.5M,7-2
https://www.tiktok.com/@queenofficial/video/7415316797622209838,No vocals? Vocals? Get you a band that can do both #QueenOnTikTok  created by Queen with Queen’s original sound,67.3K,9-16
https://www.tiktok.com/@queenofficial/video/7403828208585526570,You know the name and you know the songs 😏 #QueenOnTikTok created by Queen with Queen’s original sound,393.4K,8-16
https://www.tiktok.com/@queenofficial/video/7429704950202240302,"📢 OUT NOW! Queen I, The iconic debut album  – newly mixed, mastered, expanded 👑   “Queen I is the debut album we always dreamed of bringing to you.” Brian May and Roger Taylor, 2024 👑    Queen I Collector’s Edition sees the album presented in a whole new light, having been newly mixed from the original multi-track masters. Intimate fly-on-the-wall audio of Queen in the studio, demos, rare live tracks, and previously unheard recordings from Queen’s first ever live performance in London, 1970.    #QueenI created by Queen with Queen’s original sound",42.6K,6d ago
https://www.tiktok.com/@queenofficial/video/7408279237062577454,Time to see who really knows their Queen 🧐 #QueenOnTikTok  created by Queen with Queen’s original sound,222.3K,8-28
https://www.tiktok.com/@dontstopqueennow/video/7386275885420186913,Quite the transformation #fyp #queen #freddiemercury #confidence #singing  created by Dont Stop Queen Now with Dont Stop Queen Now’s original sound,3.9M,6-30
https://www.tiktok.com/@markverry/video/7388219402203827489,#queen #killerqueen #frddiemercury #ukband #britishband #english #englishrock #rock #rockmusic #70smusic #officialvideo #officialvideomusik #80 #80s #80smusic #80nostalgia #iconic #immortal #livemusic #reels #reels__tiktok #fyp #perteeee #parati # created by Mark Verry with Mark Verry’s suono originale,342.4K,7-5
https://www.tiktok.com/@amora09117/video/7431148645447126314,Queen is one of the greatest and most controversial bands in rock history.#freddiemercury #freddiemercuryqueen #queen #music #bohemianrhapsody #wholesome  created by amora0911 with amora0911’s original sound,5523,2d ago
