link,text,views,date
https://www.tiktok.com/@a_bi.royal/video/7232814065331227950,Love it! 🤭😂 #theebiking  created by J 👑 (They/He) with 🐓’s original sound,46.8K,2023-5-13
https://www.tiktok.com/@jessescentials/video/7332983778798865706,Gifted | What happens when you combine the clean girl aesthetic and vanilla gourmand? Queening by @mindgamesfragrance #queening #mindgamesqueening #fragrance #fragrancereview #CapCut  created by Jesse | Fragrance Reviews with Jesse | Fragrance Reviews’s original sound,12K,2-7
https://www.tiktok.com/@frag_analysis/video/7332642258879040814,Replying to @Marie Christine QUEENING FULL DAY WEAR TEST . . #perfumetok #fragrancetok #fragcomm #fraghead #perfume #nichefragrance #nichetok #nicheperfume #mindgamesfragrance #queening #mindgamesqueening #perfumeweartest #weartest #perfumereviews #perfumereview #sillage  created by Christine | frag_analysis with Christine | frag_analysis’s original sound,4379,2-6
https://www.tiktok.com/@caramel_queen26/video/7431452482783513902,#Meme #MemeCut #fyppppppppppppppppppppppp #fypシ #viralvideo  created by Queening with Notworthit’s original sound,318,1d ago
https://www.tiktok.com/@girlsonprn/video/6995919742385081605,What is 👑queening?👑 #nickiminaj #selflove #sexpositive #kinkpositivie #queen #sexpert #women #communication #sexualhealth created by Girlsonprn with Girlsonprn’s original sound,42.4K,2021-8-13
https://www.tiktok.com/@caramel_queen26/video/7425117485738822958,"when I get my king, it’s up from there #fyp #fy #fypシ #relationshipgoals #fyppppppppppppppppppppppp  created by Queening with Code G & Persona’s Stayed Down",8296,10-13
https://www.tiktok.com/@queening54441/video/7428466404896329006, created by queening5444jahbless with AZ’s I'm Back,26,10-22
https://www.tiktok.com/@caramel_queen26/video/7410625331125652782,#CapCut #goals #fyp  created by Queening with Lastra’s Trap Mafia,423,9-3
https://www.tiktok.com/@kellyblackcherry/video/7341903608985816363,QUEENING  created by Kelly black cherry 🍒 with Christopher Martin’s I'm A Big Deal,27.1K,3-2
https://www.tiktok.com/@queening54441/video/7427816725217004846," created by queening5444jahbless with Luther Vandross’s Never Too Much (12"" Version)",75,10-20
