link,text,views,date
https://www.tiktok.com/@allie_ninfo/video/7279133752998071594,OMG I’m mind blown rn 🤣🤣🤣🤣🤣 #romanempire #romanempireprank #lol  created by Allie Ninfo with Allie Ninfo’s original sound,4.4M,2023-9-15
https://www.tiktok.com/@frank.cooper/video/7279954981694868778,Roman empire trend explained. #romanempire #romanempiretrend #masculinity #greenscreen  created by Frank with Frank’s original sound,1.6M,2023-9-17
https://www.tiktok.com/@thehistorysource/video/7281076777760460075,"You really wouldn’t want to live in the Roman Empire. It’s without a doubt one of the most important periods in history, but the truth is day to day life was awful for most Romans.  So let’s explore 5 reasons why life sucked in the Roman Empire. #history #romanempire #historytok #historyfacts #ancientrome  #ancienthistory #historybuff  created by The History Source with The History Source’s original sound",74.3K,2023-9-20
https://www.tiktok.com/@madisdawgs/video/7315288805161078062,crying #fyp  created by mads with NostalgiaLove’s Notebook x Lana,1.6M,2023-12-22
https://www.tiktok.com/@hannahkbrown/video/7278841701047799070,Never once do I think of such things. How is this real?! #romanempire  created by Hannah Brown with Hannah Brown’s original sound,3.6M,2023-9-14
https://www.tiktok.com/@zoe_iron/video/7323895049777909010,it’s the SIDE PROFILE!!! please tell me you see it too! #invisiblestringtheory #invisiblestring #doppelgänger #reincarnated #lookalike #romanempire #fypシ #xyzbca  created by Zoe_Iron with Laurie Anderson’s O Superman,7.3M,1-14
https://www.tiktok.com/@onxlydilf/video/7404546379487399174,this scene is my roman empire 😮‍💨🙏  { ib: @Venorxw cc/scp: mine } #hughjackman #hughjackmanedit #australia  created by daddy with daddy’s som original,1.4M,8-18
https://www.tiktok.com/@joeygraziadei/video/7334009667489664286,Are we still talking about the Roman Empire?  Tune in on Monday at 8/7c on ABC to understand the outfit choice #TheBachelor #RomanEmpire #StreamHulu created by Joey Graziadei with Joey Graziadei’s original sound,7.9M,2-10
https://www.tiktok.com/@romanhelmetguy/video/7148251178277768494,"For the purpose of this video I’ll be focusing on the fall of the Western Roman Empire, using the traditional date of 476 AD #ancientrome #roman #rome #romanhistory #romanempire #ancienthistory #history #learn #facts #education  created by Roman Helmet Guy with Tansa’s Powerful songs like action movie music",715.2K,2022-9-27
https://www.tiktok.com/@attackcreations/video/7369695423683906859,We Are Rome  #rome #ancientrome #gladiator #warrior #romanempire #italy #soilder #emperor  created by Attacks with Attacks’s original sound,1.2M,5-16
https://www.tiktok.com/@what.if.it.did/video/7101037369528225029,What if the Roman Empire never fell? #foryoupage #fy #fyp #foryou #whatif #whatifitdid #romanempire created by What If with Marius’s sunet original,2M,2022-5-23
https://www.tiktok.com/@realityexplained0/video/7248176459401923866,What If The Roman Empire Reunited Today ?? 🔥🇮🇹 #history #geography #rome #romanempire #italy #maps #mapping #mapper #facts #whatif #ancientrome #fyp #fypシ #viral  created by realityexplained with realityexplained’s original sound,2.1M,2023-6-24
https://www.tiktok.com/@allie_ninfo/video/7279133752998071594,OMG I’m mind blown rn 🤣🤣🤣🤣🤣 #romanempire #romanempireprank #lol  created by Allie Ninfo with Allie Ninfo’s original sound,4.4M,2023-9-15
https://www.tiktok.com/@frank.cooper/video/7279954981694868778,Roman empire trend explained. #romanempire #romanempiretrend #masculinity #greenscreen  created by Frank with Frank’s original sound,1.6M,2023-9-17
https://www.tiktok.com/@thehistorysource/video/7281076777760460075,"You really wouldn’t want to live in the Roman Empire. It’s without a doubt one of the most important periods in history, but the truth is day to day life was awful for most Romans.  So let’s explore 5 reasons why life sucked in the Roman Empire. #history #romanempire #historytok #historyfacts #ancientrome  #ancienthistory #historybuff  created by The History Source with The History Source’s original sound",74.3K,2023-9-20
https://www.tiktok.com/@madisdawgs/video/7315288805161078062,crying #fyp  created by mads with NostalgiaLove’s Notebook x Lana,1.6M,2023-12-22
https://www.tiktok.com/@hannahkbrown/video/7278841701047799070,Never once do I think of such things. How is this real?! #romanempire  created by Hannah Brown with Hannah Brown’s original sound,3.6M,2023-9-14
https://www.tiktok.com/@zoe_iron/video/7323895049777909010,it’s the SIDE PROFILE!!! please tell me you see it too! #invisiblestringtheory #invisiblestring #doppelgänger #reincarnated #lookalike #romanempire #fypシ #xyzbca  created by Zoe_Iron with Laurie Anderson’s O Superman,7.3M,1-14
https://www.tiktok.com/@onxlydilf/video/7404546379487399174,this scene is my roman empire 😮‍💨🙏  { ib: @Venorxw cc/scp: mine } #hughjackman #hughjackmanedit #australia  created by daddy with daddy’s som original,1.4M,8-18
https://www.tiktok.com/@joeygraziadei/video/7334009667489664286,Are we still talking about the Roman Empire?  Tune in on Monday at 8/7c on ABC to understand the outfit choice #TheBachelor #RomanEmpire #StreamHulu created by Joey Graziadei with Joey Graziadei’s original sound,7.9M,2-10
https://www.tiktok.com/@romanhelmetguy/video/7148251178277768494,"For the purpose of this video I’ll be focusing on the fall of the Western Roman Empire, using the traditional date of 476 AD #ancientrome #roman #rome #romanhistory #romanempire #ancienthistory #history #learn #facts #education  created by Roman Helmet Guy with Tansa’s Powerful songs like action movie music",715.2K,2022-9-27
https://www.tiktok.com/@attackcreations/video/7369695423683906859,We Are Rome  #rome #ancientrome #gladiator #warrior #romanempire #italy #soilder #emperor  created by Attacks with Attacks’s original sound,1.2M,5-16
https://www.tiktok.com/@what.if.it.did/video/7101037369528225029,What if the Roman Empire never fell? #foryoupage #fy #fyp #foryou #whatif #whatifitdid #romanempire created by What If with Marius’s sunet original,2M,2022-5-23
https://www.tiktok.com/@realityexplained0/video/7248176459401923866,What If The Roman Empire Reunited Today ?? 🔥🇮🇹 #history #geography #rome #romanempire #italy #maps #mapping #mapper #facts #whatif #ancientrome #fyp #fypシ #viral  created by realityexplained with realityexplained’s original sound,2.1M,2023-6-24
https://www.tiktok.com/@allie_ninfo/video/7279133752998071594,OMG I’m mind blown rn 🤣🤣🤣🤣🤣 #romanempire #romanempireprank #lol  created by Allie Ninfo with Allie Ninfo’s original sound,4.4M,2023-9-15
https://www.tiktok.com/@frank.cooper/video/7279954981694868778,Roman empire trend explained. #romanempire #romanempiretrend #masculinity #greenscreen  created by Frank with Frank’s original sound,1.6M,2023-9-17
https://www.tiktok.com/@thehistorysource/video/7281076777760460075,"You really wouldn’t want to live in the Roman Empire. It’s without a doubt one of the most important periods in history, but the truth is day to day life was awful for most Romans.  So let’s explore 5 reasons why life sucked in the Roman Empire. #history #romanempire #historytok #historyfacts #ancientrome  #ancienthistory #historybuff  created by The History Source with The History Source’s original sound",74.3K,2023-9-20
