link,text,views,date
https://www.tiktok.com/@annabellegesson/video/7306932532505791787,Replying to @Link123z74 stay tuned for the next video on how to turn a situationship into a relationship🤩 created by annabelle gesson with annabelle gesson’s original sound,3.5M,2023-11-29
https://www.tiktok.com/@alloramomo/video/7324528590324895019,Situationships #situationship #relationship #love #dating #comedy #fyp  created by Momo with Momo’s Situationships,38.8M,1-15
https://www.tiktok.com/@sarah_unfiltered/video/7361178805320420638, created by Sarah L | ❤️✍🏾 with Sarah L | ❤️✍🏾’s original sound,2.2M,4-23
https://www.tiktok.com/@heythereitsber/video/7325586060350655777,Never ends well 🙃 #situationship #fyp #original #situationshipfail  created by ber with ber’s original sound,3M,1-18
https://www.tiktok.com/@bree_and_pink/video/7410476900948118827,🤣🤣🤣🤣😂😂😂😂😂💔#nocontact#💔 created by Shabree 💗 with Shabree 💗’s original sound,2.4M,9-3
https://www.tiktok.com/@jameslwhitee/video/7354839136311774507,seems about right  created by James White with Editing Scholars’s Chasing Pavements,3.8M,4-6
https://www.tiktok.com/@thestablabpodcast/video/7359346416155659562,Have you ever been in a situationship? Full episode out now on all platforms #situationship #datingadvice #singlelife #foryoupage  created by Calvin | Content Creator with no/vox & karaokey’s water (instrumental),588.1K,4-18
https://www.tiktok.com/@olliepearcedatecoach/video/7335940662581267744,Things That Guys Will Say When They Want To Keep You In A Situationship! Follow For More Dating Advice Download My Free PDF #datingcoach #relationshipadvice #love #trending #foryou  created by Ollie Pearce Dating Coach with Ollie Pearce Dating Coach’s original sound,1M,2-15
https://www.tiktok.com/@raeganspoetry/video/7369302942240984366,“but you showed me all the signs” #spokenpoetry #situationship #crush #poem  created by raegan🌱 with Winter Aid’s The Wisp Sings,12.5M,5-15
https://www.tiktok.com/@lordsful/video/7409718573972606251,SHES SO CUTE AND REAL 😭 #loveisland #loveislandusa created by Love Island Connoisseur 🌴 with Love Island Connoisseur 🌴’s original sound,1.4M,9-1
https://www.tiktok.com/@name.is.joao/video/7363319423760895274, created by João (Joe-Ow) with João (Joe-Ow)’s original sound,1.1M,4-29
https://www.tiktok.com/@rayszyn/video/7407505195162307886,My person would never make me feel confused #real #fy #relatable  created by ray. with richie’s original sound,268.4K,8-26
https://www.tiktok.com/@annabellegesson/video/7306932532505791787,Replying to @Link123z74 stay tuned for the next video on how to turn a situationship into a relationship🤩 created by annabelle gesson with annabelle gesson’s original sound,3.5M,2023-11-29
https://www.tiktok.com/@alloramomo/video/7324528590324895019,Situationships #situationship #relationship #love #dating #comedy #fyp  created by Momo with Momo’s Situationships,38.8M,1-15
https://www.tiktok.com/@sarah_unfiltered/video/7361178805320420638, created by Sarah L | ❤️✍🏾 with Sarah L | ❤️✍🏾’s original sound,2.2M,4-23
https://www.tiktok.com/@heythereitsber/video/7325586060350655777,Never ends well 🙃 #situationship #fyp #original #situationshipfail  created by ber with ber’s original sound,3M,1-18
https://www.tiktok.com/@bree_and_pink/video/7410476900948118827,🤣🤣🤣🤣😂😂😂😂😂💔#nocontact#💔 created by Shabree 💗 with Shabree 💗’s original sound,2.4M,9-3
https://www.tiktok.com/@jameslwhitee/video/7354839136311774507,seems about right  created by James White with Editing Scholars’s Chasing Pavements,3.8M,4-6
https://www.tiktok.com/@thestablabpodcast/video/7359346416155659562,Have you ever been in a situationship? Full episode out now on all platforms #situationship #datingadvice #singlelife #foryoupage  created by Calvin | Content Creator with no/vox & karaokey’s water (instrumental),588.1K,4-18
https://www.tiktok.com/@olliepearcedatecoach/video/7335940662581267744,Things That Guys Will Say When They Want To Keep You In A Situationship! Follow For More Dating Advice Download My Free PDF #datingcoach #relationshipadvice #love #trending #foryou  created by Ollie Pearce Dating Coach with Ollie Pearce Dating Coach’s original sound,1M,2-15
https://www.tiktok.com/@raeganspoetry/video/7369302942240984366,“but you showed me all the signs” #spokenpoetry #situationship #crush #poem  created by raegan🌱 with Winter Aid’s The Wisp Sings,12.5M,5-15
https://www.tiktok.com/@lordsful/video/7409718573972606251,SHES SO CUTE AND REAL 😭 #loveisland #loveislandusa created by Love Island Connoisseur 🌴 with Love Island Connoisseur 🌴’s original sound,1.4M,9-1
https://www.tiktok.com/@name.is.joao/video/7363319423760895274, created by João (Joe-Ow) with João (Joe-Ow)’s original sound,1.1M,4-29
https://www.tiktok.com/@rayszyn/video/7407505195162307886,My person would never make me feel confused #real #fy #relatable  created by ray. with richie’s original sound,268.4K,8-26
https://www.tiktok.com/@sheeiskee/video/7368889651081284906,What do yall think? #fyp #foryoupage #foryoupageofficiall #explore #xybca #sneakylink #sneakylinks #situationship #fypシ゚viral  created by KEE ☀️ with Tommy Richman’s MILLION DOLLAR BABY (VHS),10.2M,5-14
https://www.tiktok.com/@trentaicedmatchalatte/video/7383026809903893802,hes so confusing #him #confusing #situationship #boys #foryoupage #fyp #xyzbca  created by 🆒 with thefallofwallmaria ✨’s I think I might be nothing,11.3M,6-21
https://www.tiktok.com/@kelsgordon/video/7376464989520956714,Replying to @Ashley Grant you gotta love to hate him #situationship #dating #single #text  created by kels with marie ౨ৎ’s picture to burn,1.7M,6-3
https://www.tiktok.com/@jbirdfit/video/7400768376210984223,#creatorsearchinsights What is situationship. Situationships can take many forms but it comes down to accepting less than you desire because you put the other person on a pedestal. You have to learn to take what people give you at face value and see them as they actually are and not how you wish they would be for you. #situationship #anxiousattachment #avoidantattachment #selfworth #datingadvice #relationship  created by Jason | Breakthrough Coach with Jason | Breakthrough Coach’s original sound,74.6K,8-8
https://www.tiktok.com/@womenntune1/video/7305580054019312942,Are you ok with a situationship? I want you…but I want to keep my options open.  I don’t want anything serious but I want to spend a lot of time with you along with benefits. 💜 . . . .  Repost @imani.intouch #womenntune #situationship  #gaslighting #friendswithbenefits #reboundrelationships #betrayal #healing #losscause #depression #couplestherapy #healingjourney #trust #trustworthy #boundaries #letitgo #toxicrelationship #emotionalabuse #tolerance #unforgiveness #boundariesarehealthy #guardyourheart #marriageadvice #chaos #marriage #ungratefulpeople #toxicpeople created by Women N Tune with Women N Tune’s original sound,97.4K,2023-11-25
https://www.tiktok.com/@acemetaphor/video/7263619218036313386,Don’t let this type of man be the reason you stay single! #dating #relationship  created by Ace Metaphor with Ace Metaphor’s original sound,898.5K,2023-8-4
https://www.tiktok.com/@nickviall/video/7193503674738478382,🎧Ep 369… what’s the #1#1ule of a situationship? #podcast #relationshipadvice #situationship #fboy  created by Nick Viall with Danilo Stankovic’s Pieces (Solo Piano Version),1.3M,2023-1-27
https://www.tiktok.com/@_lepro/video/7288792925742320928,I know for a fact someone is in this current situation rn😭. #fyp #foryoupage #fypシ  created by Lepro with Lepro’s original sound,4.1M,2023-10-11
https://www.tiktok.com/@gabesco/video/7291457024435555630,whats your longest situationship i wanna see who wins #situationship #relationship  created by Gabe Escobar with Gabe Escobar’s original sound,14.8M,2023-10-18
https://www.tiktok.com/@ohmontaine/video/7363475222340586782,How to leave a situationship created by Montaine with Montaine’s original sound,1.3M,4-29
https://www.tiktok.com/@jimmyonrelationships/video/7390722545953099038,Situationships #dating #datingadvice #relationship #situationship  created by Jimmy Knowles with Jimmy Knowles’s original sound,3.2M,7-12
https://www.tiktok.com/@camfant/video/7418080247599451422,no fr created by cam 🦸🏼 with a ᡣ𐭩’s original sound,971.5K,9-24
https://www.tiktok.com/@annabellegesson/video/7306932532505791787,Replying to @Link123z74 stay tuned for the next video on how to turn a situationship into a relationship🤩 created by annabelle gesson with annabelle gesson’s original sound,3.5M,2023-11-29
https://www.tiktok.com/@alloramomo/video/7324528590324895019,Situationships #situationship #relationship #love #dating #comedy #fyp  created by Momo with Momo’s Situationships,38.8M,1-15
https://www.tiktok.com/@sarah_unfiltered/video/7361178805320420638, created by Sarah L | ❤️✍🏾 with Sarah L | ❤️✍🏾’s original sound,2.2M,4-23
https://www.tiktok.com/@heythereitsber/video/7325586060350655777,Never ends well 🙃 #situationship #fyp #original #situationshipfail  created by ber with ber’s original sound,3M,1-18
https://www.tiktok.com/@bree_and_pink/video/7410476900948118827,🤣🤣🤣🤣😂😂😂😂😂💔#nocontact#💔 created by Shabree 💗 with Shabree 💗’s original sound,2.4M,9-3
https://www.tiktok.com/@jameslwhitee/video/7354839136311774507,seems about right  created by James White with Editing Scholars’s Chasing Pavements,3.8M,4-6
https://www.tiktok.com/@thestablabpodcast/video/7359346416155659562,Have you ever been in a situationship? Full episode out now on all platforms #situationship #datingadvice #singlelife #foryoupage  created by Calvin | Content Creator with no/vox & karaokey’s water (instrumental),588.1K,4-18
https://www.tiktok.com/@olliepearcedatecoach/video/7335940662581267744,Things That Guys Will Say When They Want To Keep You In A Situationship! Follow For More Dating Advice Download My Free PDF #datingcoach #relationshipadvice #love #trending #foryou  created by Ollie Pearce Dating Coach with Ollie Pearce Dating Coach’s original sound,1M,2-15
