link,text,views,date
https://www.tiktok.com/@queenbeastofficial/video/7428348613643799838,A whole @Papa Johns Giant Brownie & Pink Milk Mukbang in the car 😍😫 #foodie #mukbang  #foodreview #foodtiktok #foodtok #viralfood #eating #asmr  #eatingasmr #trend #viral #fypシ #papajohns #cookies #cookie #milk #milkandcookies #cookiesandcream #cookiesoftiktok  #fyp #foryoupage #foryou  created by Queen Beast with Queen Beast’s original sound,12.4M,10-21
https://www.tiktok.com/@jellybean.sweets/video/7430822150069636382,Massive grilled cheese burrito in under 3 minutes 😲 #burrito #food #foodie #chicken #sauce #mukbang #asmr #yum #eating #eatingsounds  created by Jelly Bean Sweets with Jelly Bean Sweets’s original sound,2.4M,3d ago
https://www.tiktok.com/@shhhhimeating/video/7384854917166468395,Shhhhimeating’s light snack #wingstop #wingstopranch #wings #wingstopmukbang #eating #foodie #asmr #mukbang #mukbangeatingshow #fypシ゚viral  created by ShhhhImEating with ShhhhImEating’s original sound,24.4M,6-26
https://www.tiktok.com/@nomadryaneats/video/7430202257611738399,#foodtok #asmr #eating #mukbang #eatingshow #eating  created by NomadRyanEats with NomadRyanEats’s original sound,541.1K,4d ago
https://www.tiktok.com/@shhhhimeating/video/7431607375070629151,I smell ocean #sushi #sushilover #salmon #sushiroll #eating #foodies #asmr #mukbang #mukbangeatingshow #fyp  created by ShhhhImEating with ShhhhImEating’s original sound,1.4M,1d ago
https://www.tiktok.com/@sdfoodreviewz/video/7431313190904007967,Reviewing my college dining hall food #foodreview #eating #college #mukbang #explore #fyp #food #foodie  created by Everything Food with Everything Food’s original sound,634.7K,1d ago
https://www.tiktok.com/@jingjing_888/video/7404417018352504081,Asmr Mukbang Chinese Girl Eating Eggs 🥚#mukbang #eat #chinesefood #food #eggs  created by Jingjing with Jingjing’s original sound,39.6M,8-18
https://www.tiktok.com/@dr.aopeso/video/7429868832287771947,Over or Under 3 Bites. 🌯🥲 #trending #fyp #viral #mukbong #mukbang #foodie #food #asmr #fypage #eating #asmr #zurrito  created by ⭐️Peso⭐️ with juan_nle’s H00DBYAIR Juan_nle Remix,1.1M,5d ago
https://www.tiktok.com/@anxiety_doll/video/7360745578302541098,It’s a Weekly Thing to eat Raising Canes in my car due to my anxiety🥺#canes #caneschicken #canessauce #canesmukbang #raisingcanes #raisingcanesmukbang #eating #foodie #asmr #mukbang #mukbangeatingshow #mukbangasmr #asmrfood #asmrmukbang #fyp #anxiety #anxietyrelief #socialanxiety #eatinginthecar  created by AnxietyDoll with AnxietyDoll’s original sound,410K,4-22
https://www.tiktok.com/@jordannlolll/video/7377617397886258475,@McDonald’s Mukbang🍟♥️ #mukbang #mukbangfoodasmr #mcdonalds #mcdonaldsmukbang #asmreating #eating #food #foodasmr #eatingasmr #latenightsnack #foodtok #mickeyds #nottalking #asmreatingsounds #eatingsounds  created by jordan williams ✿ with jordan williams ✿’s original sound,4.6M,6-7
https://www.tiktok.com/@mammam_62/video/7324667789669584146,#mukbang #eating #xuhuong #viral  created by măm măm with măm măm’s nhạc nền - măm măm,29.9M,1-16
https://www.tiktok.com/@pinkydollreal/video/7412287220255657221,Caption:  Watch me eat 4 poutines with extraaaaaaaa Quebec cheese…… EASY !!!  #yesyesyes  #cheese #pinkydoll #mukbang #asmr #asmrfood #foodie #fyp#fypryoupage #ptp#ptpurtoipage  #n#npcnpcqueen #asmrmukbang  created by Pinkydoll with Pinkydoll’s original sound,10.7M,9-8
https://www.tiktok.com/@queenbeastofficial/video/7428348613643799838,A whole @Papa Johns Giant Brownie & Pink Milk Mukbang in the car 😍😫 #foodie #mukbang  #foodreview #foodtiktok #foodtok #viralfood #eating #asmr  #eatingasmr #trend #viral #fypシ #papajohns #cookies #cookie #milk #milkandcookies #cookiesandcream #cookiesoftiktok  #fyp #foryoupage #foryou  created by Queen Beast with Queen Beast’s original sound,12.4M,10-21
