link,text,views,date
https://www.tiktok.com/@akira_xsr/video/7413283887348206853,Aura.🗿 120FPS 💀 #toji #anime #edit #jjk #mangaedit #aura  created by AKIRA 🇧🇷 with AKIRA 🇧🇷’s som original - AKIRA 🇧🇷,145.5M,9-11
https://www.tiktok.com/@tlevelt/video/7427054823226215712,Emotional intelligence🤍 #auramoments #auramoments #live #couplegoals #actsofkindness #emotionalintelligence #aura  created by shine aura with shine aura’s Originalton,8.2M,10-18
https://www.tiktok.com/@tlevelt/video/7427968820414827809,Emotional intelligence🤍 #kimberlyloaiza #respect #aura #couple #kiss #cute #boyfriend #couple #girlfriend  created by shine aura with shine aura’s Originalton,2.2M,10-20
https://www.tiktok.com/@cosmtixs/video/7396388431800110368,this is aura 🔥 #beyonce #paparazzi #fyp #viral  created by ꨄ ꨄ ꨄ with 🔥🎧𝗢𝘀𝗰𝘅𝗿•𝗠𝗨𝗦𝗜𝗖🎧🔥’s sonido original,49.7M,7-27
https://www.tiktok.com/@futt.ediitx/video/7373062270013672736,aura. // #parati #fypシ #viral #viral #mbappe #aura #worldcup #france #goat #fyp #foryou  created by futt.ediitx with slander’s original sound,10.4M,5-25
https://www.tiktok.com/@oskar.witulski/video/7374055002270141729,Follow to boost your Aura 📈 #aura #fyp #foryou#foryoutpage #viral #trending created by OskarWitulski with OskarWitulski’s Originalton - witul_aura,8.5M,5-28
https://www.tiktok.com/@heroedit_ae/video/7418602965163953430,The best aura moments #trollface #edit #troll created by Kenon Edits with Kenon Edits’s original sound - Kenon Edits,571.7K,9-25
https://www.tiktok.com/@sunntie/video/7371560255848762657,Next video we’ll give some tips to gain aura #fyp #aura #school #fypシ゚viral @ٴۢٴۢٴ  created by ✞Sunny Grace✞ with mandy’s hahah do it jiggle,27.3M,5-21
https://www.tiktok.com/@zxfallz2/video/7367810540246207750,#jesus #jesuschrist #God #bible #edit #verses #jesusisking #jesusedit #christian  created by 𝐹𝑎𝑙𝑙𝑧 愛 with 𝐹𝑎𝑙𝑙𝑧 愛’s som original,4.1M,5-11
https://www.tiktok.com/@are.you.okay.15/video/7382307076057386246,Aura…#respect #xyzbca #viral #edit #viralvideo #foryou #real #foryoupage #foryou #movie #fy  created by Are you okay? with Nefex.aep’s Use this sound if cr7 is the goat,5M,6-19
https://www.tiktok.com/@akira_xsr/video/7413283887348206853,Aura.🗿 120FPS 💀 #toji #anime #edit #jjk #mangaedit #aura  created by AKIRA 🇧🇷 with AKIRA 🇧🇷’s som original - AKIRA 🇧🇷,145.5M,9-11
