link,text,views,date
https://www.tiktok.com/@lizarragabooks/video/7385674662128143647,Dont send this to your mom #tiktokslang #fyp #mog #mogged #chronicallyonline  created by Jess 📇 author ✍️ with Jess 📇 author ✍️’s original sound,1.7M,6-28
https://www.tiktok.com/@chrizzhall/video/7329230349723290926,reverse mogging 💀 #fyp#foryou#viral#trending#chrizzhall  created by Chris Hall with Seventhu’s original sound,14.6M,1-28
https://www.tiktok.com/@patrickbatmanya/video/7387094420249742624,#mogged  created by andrew ate with criss_livee’s Hernán Drago mogeed,2.5M,7-2
https://www.tiktok.com/@disciplinementality/video/7334068404137053482, created by Discipline Mentality with Discipline Mentality’s original sound,2.3M,2-10
https://www.tiktok.com/@interstellarbe/video/7297988734417456386,THE MOGGED (ib:@𝔊𝔛𝔗) #interstella#interstellarbeng #gigachad #jordanbarrett #fransiscolachowski #seanopry  created by Interstellarbe with Interstellarbe’s origineel geluid,10.7M,2023-11-5
https://www.tiktok.com/@coydawg34/video/7318611829272464671, created by Mccoy Banner with the_phonkface’s Originalton,176.8K,2023-12-30
https://www.tiktok.com/@emmosh/video/7363323947842096416,I promise we are sisters @bezoone  #mogging #mog #looksmax #mogged #looksmaxing #siblings #sisters created by emmosh with criss_livee’s Hernán Drago mogeed,2M,4-29
https://www.tiktok.com/@grumpyp4nda/video/7396231312329231647,Lord of the Mogging (Theoden edition) #funny #mewing #mogging #lordoftherings #theoden #meme #chad #fypシ゚viral  created by GrumpyP4nda with Anton’s original sound,298.8K,7-27
https://www.tiktok.com/@samm.zia/video/7280715708063862062,golden hour🤣🤣 @K. Shami  created by Sam with Sam’s original sound,3.6M,2023-9-19
https://www.tiktok.com/@sigma_caleb/video/7360492256672943403, created by SIGMA CALEB with ᴘʜXɴᴋᴘʟ6ʏᴀ™’s original sound,889K,4-21
https://www.tiktok.com/@synt4xe/video/7370358680341990689,It’s over for me  created by syntaxe with Angel 🫧’s original sound,9.5M,5-18
https://www.tiktok.com/@lizarragabooks/video/7385674662128143647,Dont send this to your mom #tiktokslang #fyp #mog #mogged #chronicallyonline  created by Jess 📇 author ✍️ with Jess 📇 author ✍️’s original sound,1.7M,6-28
https://www.tiktok.com/@chrizzhall/video/7329230349723290926,reverse mogging 💀 #fyp#foryou#viral#trending#chrizzhall  created by Chris Hall with Seventhu’s original sound,14.6M,1-28
