link,text,views,date
https://www.tiktok.com/@realconner/video/7156039909839588650,Bro thought I was so weird… and rightfully so💀 #fypシ #fyp #npc  created by Conner Mather with Ben Morfitt (SquidPhysics)’s GTA San Andreas Theme (Remake),22.6M,2022-10-18
https://www.tiktok.com/@rellchosen7/video/7264265258355674414,"Are You An NPC? #fyp #rellchosen #npc #simulation #deepthoughts #xyzbca  created by 777☯️ with takaya’s Suspense, horror, piano and music box",814.9K,2023-8-6
https://www.tiktok.com/@pinkydollreal/video/7299245919180950790,@FashionNova NPC Beginner lessons pt.1 🍿🤍 #viral #pinkydoll #fyp #ptp #pourtoipage #foryoupage #queennpc #npc #Pinkydoll #fashionnova #course #lesson #howto  created by Pinkydoll with Doja Cat’s Paint The Town Red,2.9M,2023-11-8
https://www.tiktok.com/@cbwritescopy/video/7398692007348178222,NPCs everywhere man created by Christian with Christian’s original sound,45.3K,8-2
https://www.tiktok.com/@panthermatumona/video/7161883290713033990,Top 10 NPC Behaviors. #npc #motivation #top10 #behaviour  created by panthermatumona with panthermatumona’s original sound,17.1K,2022-11-3
https://www.tiktok.com/@tiny.peach/video/7416917998579043627,Cringe npc⚠️#TikTokLIVE #fypシ゚viral #trending  created by 🫅🏾MONiCA🍬MPC🫅🏾 with 🫅🏾MONiCA🍬MPC🫅🏾’s original sound,232.3K,9-20
https://www.tiktok.com/@noallou/video/7112226580973276458,NPC Behavior 🤖 #fyp #dominos #npc created by Noah 🧍🏽‍♂️ with Noah 🧍🏽‍♂️’s Ambience,733.3K,2022-6-22
https://www.tiktok.com/@octesladeliveryguy/video/7372679423532764458,Saw this chic walking down the street acting all wild and crazy. #npc #crazy #bikini #streetwalker #forthestreets #zombies #california  created by Tesla Delivery Guy with Ohboyprince’s Bounce When She Walk,25.2K,5-24
https://www.tiktok.com/@realconner/video/7167878301841870126,"Go crazy with this y’all, we’re building an NPC army😈  #npc #connermather #foryoupage #fypシ  created by Conner Mather with Ben Morfitt (SquidPhysics)’s GTA San Andreas Theme (Remake)",3M,2022-11-19
https://www.tiktok.com/@edmondx/video/7201634073834474798,fake everything #fyp #foryou #foryoupage #lean #w #yeat #fypツ #nelk #xyzbca #w #edmondx #fypp #foryouu #mrbeast #fyppp #trending #viral  created by eddy with eddy’s original sound,25.6M,2023-2-18
https://www.tiktok.com/@joeyvalence/video/7148911692083236138,THIS IS OUR NEW SONG TANAKA AND IT COMES OUT TOMORROW created by Joey Valence & Brae with Joey Valence & Brae’s original sound,61.3K,2022-9-29
https://www.tiktok.com/@realconner/video/7156039909839588650,Bro thought I was so weird… and rightfully so💀 #fypシ #fyp #npc  created by Conner Mather with Ben Morfitt (SquidPhysics)’s GTA San Andreas Theme (Remake),22.6M,2022-10-18
https://www.tiktok.com/@rellchosen7/video/7264265258355674414,"Are You An NPC? #fyp #rellchosen #npc #simulation #deepthoughts #xyzbca  created by 777☯️ with takaya’s Suspense, horror, piano and music box",814.9K,2023-8-6
https://www.tiktok.com/@pinkydollreal/video/7299245919180950790,@FashionNova NPC Beginner lessons pt.1 🍿🤍 #viral #pinkydoll #fyp #ptp #pourtoipage #foryoupage #queennpc #npc #Pinkydoll #fashionnova #course #lesson #howto  created by Pinkydoll with Doja Cat’s Paint The Town Red,2.9M,2023-11-8
https://www.tiktok.com/@cbwritescopy/video/7398692007348178222,NPCs everywhere man created by Christian with Christian’s original sound,45.3K,8-2
https://www.tiktok.com/@panthermatumona/video/7161883290713033990,Top 10 NPC Behaviors. #npc #motivation #top10 #behaviour  created by panthermatumona with panthermatumona’s original sound,17.1K,2022-11-3
