link,text,views,date
https://www.tiktok.com/@buhbungus/video/7406434909398535466,why so serious?#foryou#fy#jonkler#fent#eviljonklercart#whysoserious#eviljonklerfentcart#skibidi#alpha#rizz#gyatt#sigma#foryoupage  created by skibidi with 8======D’s Joker Beatbox Speed Up,39.9M,8-23
https://www.tiktok.com/@etvertzz/video/7357845892726132010,Ws in the schaaaattttt #fyp #confidence #rizz #rizzler #cutegirl #comedyvideo #viralvideo  created by ETVertz with ETVertz’s original sound,1.3M,4-14
https://www.tiktok.com/@ashleyandmamajustice/video/7430931809149455658,Rizzler Dance‼️#song #dance #fun #family #bigjustice #rizz #boom #newyork @ItzTheRizzler @A.J. & Big Justice @FallonTonight  created by Ashley & Mama Justice with The Powerchild Clips’s original sound,9.6M,2d ago
https://www.tiktok.com/@ejaycruzz/video/7338664495167982894,thats w rizz #fyp #viral #rizz  created by Ejay with Ejay’s original sound,6.1M,2-23
https://www.tiktok.com/@joeybowie2020/video/7310617077901970693,Cat Rizz🤌🏻 #catsoftiktok #catrizz #rizz #cat #foryoupage #fypシ  created by Joey with Bälle’s Originalton,1.1M,2023-12-9
https://www.tiktok.com/@thejimmyjensen/video/7431607754634153259,We dont like english #rizz #rizzler #rizzface #dance #dancer #dancechallenge #trend #school #schoollife #english #class #fyp #viralvideo #trend  created by Jimmy with The Powerchild Clips’s original sound,31.4K,1d ago
https://www.tiktok.com/@itztherizzler/video/7380829956965780778,How to do the “Rizz face” with @A.J. & Big Justice and LuLu 🤫 🤔🧏🏻‍♂️ #therizzler #boom #fyp #rizzface #rizz #fun #familyfun  created by ItzTheRizzler with ItzTheRizzler’s original sound,18M,6-15
https://www.tiktok.com/@yungemann/video/7255087228563639594,#fypシ #makemefamous #blowthisup #viral #emanrizz #rizz  created by emann💕 with emann💕’s original sound,14.9M,2023-7-12
https://www.tiktok.com/@lilpraiseyclips/video/7373696708640886062,I have the best rizz 🥰 (Twitch - LilPraisey) #foryou #trending #twitchstreamer #twitch #rizz #viral  created by LilPraiseyClips with LilPraiseyClips’s original sound,4.7M,5-27
https://www.tiktok.com/@gibson.avenue/video/7429040454055791918,don’t let us give ur girl the rizz face created by gibson with The Powerchild Clips’s original sound,3.8M,10-23
