link,text,views,date
https://www.tiktok.com/@its.hakc/video/7324385010969103658,"If you’re gonna be mean, at least be right #cosplay #gaming #coser #gamer #skillissue #fyp created by 🪿 Hakc 🪿 with 🪿 Hakc 🪿’s original sound",12.8K,1-15
https://www.tiktok.com/@flyrelic/video/7361104552415874337,Always that last hit #gaming #darksouls #souls #eldenring #skillissue #fyp created by Solaire of Astora with Solaire of Astora’s original sound,1.3M,4-23
https://www.tiktok.com/@d0mtheone/video/7253805965726780699,Idk what to put here so.. skill issue💀 #fyp #animation #meme #crush #her #relatable  created by DomTheOne with Infinitesport’s original sound,765.3K,2023-7-9
https://www.tiktok.com/@cjcomix69/video/7135524266371534122,Goofy lil animation I busted out real quick 🤭 #fyp #animation #trending #viral#CapCut  created by CJCOMIX‼️ with MoonDeity’s NEON BLADE,13.3M,2022-8-24
https://www.tiktok.com/@agtoowilddd/video/7138595192969547050,The real skill issue here is them getting 0 play 💀 #pov #comedy #funny #trending #viral #relatable created by AG with prodby668’s prolly my spookiest beat (slowed + reverb),21.4K,2022-9-1
https://www.tiktok.com/@jay4v2rse/video/7378134380469816619,"Manz was a walking representation of “skill issue.” | PROBLEM- NOT MY PROBLEM, THATS JUST NOT MY PROBLEM (its stuck in my head) Tagz: #hobie #hobiebrown #hobiebrownedit #hobiebrown138 #atsv #atsvedit #spiderman #spidermanacrossthespiderverse #spidermanedit #notmyproblem #milesmorales #vsp #blowthisup #fyp #foryoupage   Mentionz in comments :)  created by ‘𝐉𝐚𝐲ᥫ᭡. with ‘𝐉𝐚𝐲ᥫ᭡.’s original sound",369K,6-8
https://www.tiktok.com/@justmaliyahh/video/7364545020604484870,Skill issue… Twitch: JustMaliyah 🫧 #eldenring #eldenringhype #eldenringgameplay  created by JustMaliyah🎱🎧🫧 with JustMaliyah🎱🎧🫧’s original sound,286.2K,5-2
https://www.tiktok.com/@roshibros/video/7392433322116353326,Skill issue #fyp #foryou #foryoupage #gaming #eldenring #eldenringdlc  created by Roshi Bros with Roshi Bros’s original sound,163.5K,7-16
https://www.tiktok.com/@syremintheflesh/video/7399678088575012138,skill issue #fyp #skillissue #eldenringboss #malenia #cupheadgame #contra #ghostrunner #ps5games #nesgames #ps4games #soulsgames #xboxgames  created by syrem with syrem’s original sound,5603,8-5
https://www.tiktok.com/@milkinthymicrowave/video/7216744030074441003,do you need a small violin for that pity party 🥺🎻 mayhaps a dose of “get over it”? 🥰 #skillissue #wahhmbulance #thatscrazy #fyp #foryou #fypシ #fypage #voiceactor #insane #audio  created by Terminally Silly with Terminally Silly’s original sound,409K,2023-3-31
https://www.tiktok.com/@whoana.keli/video/7378639400667794720,skill issues... #2danimation #fyp #driving #car #skate created by Whoana Keli with Whoana Keli’s som original,1.2M,6-9
https://www.tiktok.com/@aliensubmarine/video/7431348559389216031,"*Inbred is an EP not an album, anyway personally i will be screaming it from the rooftops so skill issue i guess  created by AlienSubmarEden(they/them)🇵🇸 with AlienSubmarEden(they/them)🇵🇸’s original sound",237.5K,4d ago
https://www.tiktok.com/@its.hakc/video/7324385010969103658,"If you’re gonna be mean, at least be right #cosplay #gaming #coser #gamer #skillissue #fyp created by 🪿 Hakc 🪿 with 🪿 Hakc 🪿’s original sound",12.8K,1-15
https://www.tiktok.com/@flyrelic/video/7361104552415874337,Always that last hit #gaming #darksouls #souls #eldenring #skillissue #fyp created by Solaire of Astora with Solaire of Astora’s original sound,1.3M,4-23
https://www.tiktok.com/@d0mtheone/video/7253805965726780699,Idk what to put here so.. skill issue💀 #fyp #animation #meme #crush #her #relatable  created by DomTheOne with Infinitesport’s original sound,765.3K,2023-7-9
https://www.tiktok.com/@cjcomix69/video/7135524266371534122,Goofy lil animation I busted out real quick 🤭 #fyp #animation #trending #viral#CapCut  created by CJCOMIX‼️ with MoonDeity’s NEON BLADE,13.3M,2022-8-24
https://www.tiktok.com/@agtoowilddd/video/7138595192969547050,The real skill issue here is them getting 0 play 💀 #pov #comedy #funny #trending #viral #relatable created by AG with prodby668’s prolly my spookiest beat (slowed + reverb),21.4K,2022-9-1
https://www.tiktok.com/@jay4v2rse/video/7378134380469816619,"Manz was a walking representation of “skill issue.” | PROBLEM- NOT MY PROBLEM, THATS JUST NOT MY PROBLEM (its stuck in my head) Tagz: #hobie #hobiebrown #hobiebrownedit #hobiebrown138 #atsv #atsvedit #spiderman #spidermanacrossthespiderverse #spidermanedit #notmyproblem #milesmorales #vsp #blowthisup #fyp #foryoupage   Mentionz in comments :)  created by ‘𝐉𝐚𝐲ᥫ᭡. with ‘𝐉𝐚𝐲ᥫ᭡.’s original sound",369K,6-8
https://www.tiktok.com/@justmaliyahh/video/7364545020604484870,Skill issue… Twitch: JustMaliyah 🫧 #eldenring #eldenringhype #eldenringgameplay  created by JustMaliyah🎱🎧🫧 with JustMaliyah🎱🎧🫧’s original sound,286.2K,5-2
https://www.tiktok.com/@roshibros/video/7392433322116353326,Skill issue #fyp #foryou #foryoupage #gaming #eldenring #eldenringdlc  created by Roshi Bros with Roshi Bros’s original sound,163.5K,7-16
https://www.tiktok.com/@syremintheflesh/video/7399678088575012138,skill issue #fyp #skillissue #eldenringboss #malenia #cupheadgame #contra #ghostrunner #ps5games #nesgames #ps4games #soulsgames #xboxgames  created by syrem with syrem’s original sound,5603,8-5
https://www.tiktok.com/@milkinthymicrowave/video/7216744030074441003,do you need a small violin for that pity party 🥺🎻 mayhaps a dose of “get over it”? 🥰 #skillissue #wahhmbulance #thatscrazy #fyp #foryou #fypシ #fypage #voiceactor #insane #audio  created by Terminally Silly with Terminally Silly’s original sound,409K,2023-3-31
https://www.tiktok.com/@whoana.keli/video/7378639400667794720,skill issues... #2danimation #fyp #driving #car #skate created by Whoana Keli with Whoana Keli’s som original,1.2M,6-9
https://www.tiktok.com/@aliensubmarine/video/7431348559389216031,"*Inbred is an EP not an album, anyway personally i will be screaming it from the rooftops so skill issue i guess  created by AlienSubmarEden(they/them)🇵🇸 with AlienSubmarEden(they/them)🇵🇸’s original sound",237.5K,4d ago
https://www.tiktok.com/@supernova7622/video/7123804601014406405,How can Bozo be so bad at the game 😭#minecraft #skillissue #bozo #badatthegame🤣🤣🤣 #suckstosuck created by ASuperNOva610 with ASuperNOva610’s Bowomp,3.5M,2022-7-24
https://www.tiktok.com/@memezerino/video/7166760782464617729,Skill issue 🤣 #fyp #foryoupage #foryou #viral #memes  created by Memezerino with Memezerino’s original sound,13.4M,2022-11-16
https://www.tiktok.com/@boredbedouin/video/7384025455944387872,Skill issue  created by Arabian girl with sam’s Salahuddin x Baldwin,892.6K,6-24
https://www.tiktok.com/@zbeno14/video/7426759243899997486,Skill issues? Yes! #fyp #real #relatable #sparkingzero #dragonball #nuke  created by Beno with jah’s original sound,691.6K,10-17
https://www.tiktok.com/@fwths_v2/video/7422700188252343574,skill issue #warthunder #skillissue #tank #miss #ricochet  created by Φωτης👍 with Φωτης👍’s πρωτότυπος ήχος,152.4K,10-6
https://www.tiktok.com/@brianjcb_/video/7377673880845978913,"New song ""Skill Issue"" out everywhere!! 😎 #guitarist #guitarloop #guitartok #producertok #musicproducer #trap #hyperpop  created by brianjcb with brianjcb’s Skill Issue",74.8K,6-7
https://www.tiktok.com/@plasmaoncr/video/7123963368813153541,nah but tf 💀 #fyp #skillissue #fallguys #NatWestWhatYouWaitingFor created by Plasma with whcen’s Yess,11K,2022-7-24
https://www.tiktok.com/@thamarin/video/7315961894878055685,#touhou #touhouproject #touhoumemes  created by Thamarin with Thamarin’s sonido original,1.2M,2023-12-23
https://www.tiktok.com/@reidboehm/video/7431686684699413803,He's bringing gaming to class 😂 #gaming #gamingontiktok #gamer #videogames  created by Reid with Reid’s original sound,499.9K,3d ago
https://www.tiktok.com/@15kids_insidemybasement/video/7243729803252092206,Skill issue👴#meme #murder created by TGC with Mike🤿’s original sound,3408,2023-6-12
https://www.tiktok.com/@notlivvy.4/video/7303673077085359391,Skill issue #fypシ #fyp #relateable  created by Liv🌞 with Faye Webster’s Jonny,3.4M,2023-11-20
