link,text,views,date
https://www.tiktok.com/@akeamfrancis01/video/6965552117113179398,Tell me without telling me #weekendfun #sussybaka created by Akeamfrancis with Akeamfrancis’s original sound,4.9M,2021-5-23
https://www.tiktok.com/@great_white_shark_facts/video/7118411914887187717,Sussy created by Adude with Adude’s original sound,399.2K,2022-7-9
https://www.tiktok.com/@ianboggs/video/6984924211827526917,Did you know this? 😂 #japan #japanese #japaneseboy #日本 #anime created by IAN with IAN’s original sound,4.7M,2021-7-14
https://www.tiktok.com/@therealkraccbacc/video/7194510282830499115,Important message from Hank! #fyp #kraccbacc #meme #memes #funnymemes #goofyahh #fy #foryou #foryoupage #breakingbad #breakingbadedit #breakingbadmemes #hankschrader #funny #funnyvideos  created by kracc bacc with kracc bacc’s original sound,648.1K,2023-1-30
https://www.tiktok.com/@car.edits8305/video/7287112776256933152,Skibidy Toilet Gyat #fyp #viralvidio #Skibidy #toilet #ohio #rizzlord #sus #sussybaka created by Car.edits8305 with Car.edits8305’s original sound,1.8M,2023-10-7
https://www.tiktok.com/@graciepa/video/7011325768655539462,Did you see that? #CandyCrushAllStars #fyp #cat #funny #comedy #cringg #cat #sus #sussybaka #anime #furry #amongus #ThatCloseMessenger created by Gracie with Ethan.dz’s original sound,1.3M,2021-9-23
https://www.tiktok.com/@dane_jones/video/7170953260440833322,Your 3rd @ is sus 😳 #fypシ  created by Dane 🇵🇭🇮🇹🇨🇳 with Dane 🇵🇭🇮🇹’s original sound,680.1K,2022-11-28
https://www.tiktok.com/@imdeathlyafraidofbees/video/6972549492939721989,Sleepover 🤗🕺🏻 #theboys #daboiz #guyssleepover #guys #WhatWouldPopTartsDo #darhmann #sussy #baka #sussybaka #booka #summer #mozzarella created by ImDeathlyAfraidOfBees with ImDeathlyAfraidOfBees’s original sound,1.9M,2021-6-11
https://www.tiktok.com/@akeamfrancis01/video/6967942904220339462,Reply to @big_brother_dabz oh big brother you a Sussy baka #sussybaka #onichan #akeamfrancis created by Akeamfrancis with Akeamfrancis’s original sound,854.7K,2021-5-30
https://www.tiktok.com/@lathonmb/video/7145459958287469829,#lathonmb #melathon created by LathonMB with Dane 🇵🇭🇮🇹’s original sound,673.3K,2022-9-20
