link,text,views,date
https://www.tiktok.com/@boysbeingboi/video/7356395942943247659,OG tiktok rizz party😍 #trizzparty #rizz #tiktok  created by BoysBeingBoi with BoysBeingBoi’s original sound,3.7M,4-10
https://www.tiktok.com/@hatman.ae/video/7354504759656664336,i got a bit of motivation #tiktokrizzparty #quandaledingle #edit #viral #rizz #brainrot #fyp  created by hatman with hatman’s original sound,23.6M,4-5
https://www.tiktok.com/@seby_261/video/7355615208724761902,Enough is enough #bluetie#carnival#tiktokrizzparty  created by Seby_261 with Seby_261’s original sound,16.6M,4-8
https://www.tiktok.com/@islandentertainment/video/7361490101744045342,"Shout out to Deer Park, high school and @alexa🎀 for this video going viral last month. #reddressgirl #tiktokrizzparty #deerparkhighschool #nycdj  created by Island Entertainment with Island Entertainment’s original sound",12.5M,4-24
https://www.tiktok.com/@brewthreadsco/video/7354119894574566699,This tiktok rizz party was insaneeee#tiktokeizzparty#tiktok#rizz#party#tiktoklore#lore#tiktokrizzpartylore#bluetiekid#groupleader#bluetieleader#fyp#foryou#viral created by BrewThreadsCo with BrewThreadsCo’s original sound,4.9M,4-4
https://www.tiktok.com/@lancebakerclips/video/7359983957682720043,group leader and tqd rankings #lancebaker#tiktokrizzparty created by LanceBakerClips with LanceBakerClips’s original sound - LanceBakerClips,2.2M,4-21
https://www.tiktok.com/@djdavegordon/video/7374456374735932718,Hows my DJ dance moves😂😭 #CapCut #dj #djdavegordon #djsoftiktok #accenteventgroup #dj #tiktokrizzparty #fyp #highschool  created by DJ Dave Gordon with DJ Dave Gordon’s original sound,3.1M,5-29
https://www.tiktok.com/@vexbolts/video/7371215162621054251,Bro really think he made it to the 2nd rizz party in new york @Island Entertainment 💀 (use code vexbolts in the fortnite itemshop) #noahglenncarter #ejay #vexbolts #tiktokrizzparty #galvanizedsteel  created by Vexbolts with Vexbolts’s original sound,2.7M,5-20
https://www.tiktok.com/@islandentertainment/video/7357792559529282862,"Some never seen before clips of the fellas doing there thing. Full video will be on youtube. Please subscribe, link is in bio. #fein #travisscott #foryou #tiktokrizzparty  created by Island Entertainment with Island Entertainment’s original sound",4.5M,4-14
https://www.tiktok.com/@wonderoid/video/7354888485679009066,TIKTOK RIZZ PARTY 😭😆 #rizz #tiktok #tiktokrizzparty #money #viral #foryou  created by Wonderoid with Wonderoid’s original sound,49.7K,4-6
https://www.tiktok.com/@islandentertainment/video/7370766417920019754,So how did the creators do with carnival ? Here they are at the tok tok rizz party giving it a shot. Shout out to @NoahGlennCarter @Hew Moran @Ejay @Vexbolts @IvanGtv @DanielPereira  created by Island Entertainment with Island Entertainment’s original sound,3.4M,5-19
